Speaker,path_length,mean_k,data_type,clust_coef_global,clust_coef_avg
Adeline,0.36637988036116564,12.824561403508772,actual,0.33401043096349164,0.6506740856382577
Charles,0.5116776274062659,9.506849315068493,actual,0.3808622675662333,0.6695485426770273
Gaël,0.48384545666768664,12.331034482758621,actual,0.3430901676483915,0.6816747713132884
Laurent,0.3570265352295718,13.854166666666666,actual,0.45220830586684246,0.5648551792697766
Noël,0.37080380764866155,13.6,actual,0.3704575463574258,0.535476649226238
Adeline,0.4622302597873066,5.192982456140351,target,0.21985446985446985,0.6812566766312999
Charles,0.3768012974360683,4.3561643835616435,target,0.20550161812297735,0.7413597817226483
Gaël,0.35064054326878674,11.10344827586207,target,0.2741039177549319,0.6873135353924271
Laurent,0.3807147266462634,5.583333333333333,target,0.26823529411764707,0.5682777110764092
Noël,0.4760183969812584,3.4260869565217393,target,0.20841683366733466,0.6592551368944559
