Language,Subject,Age,Gloss,IPAtarget,IPAactual1,IPAactual2,IPAactual3,IPAactual4,IPAactual5,IPAactual6,IPAactual7,IPAactual8
NA,NA,NA,NA,NA,la (*19),la (*19),la (*19),la (*19),la (*19),la (*19),la (*19),NA
NA,NA,NA,NA,NA,la (*19),la (*19),la (*19),la (*19),la (*19),NA,NA,NA
NA,NA,NA,là bas,laba,aba (*2),aba (*2),NA,NA,NA,NA,NA,NA
NA,NA,NA,machine,maʃin,ʃe,aʃe,NA,NA,NA,NA,NA,NA
NA,NA,NA,maman,mama,mama (*3),ma (*2),mama,ama,mama (*3),mama (*3),ma (*2),NA
NA,NA,NA,non,no,no (*2),no (*2),NA,NA,NA,NA,NA,NA
NA,NA,NA,ouais,we,wɛ (*6),we,wɛ (*6),wɛ (*6),wɛ (*6),wɛ (*6),wɛ (*6),NA
NA,NA,NA,oui,wi,wi (*7),we,wi (*7),wi (*7),wi (*7),wi (*7),wi (*7),NA
NA,NA,NA,NA,NA,wi (*7),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ouvre,uvʁ,euv,euvr (*2),auvre,vχe,œvre,euvr (*2),NA,NA
NA,NA,NA,ouvrir,uvʁiʁ,oχri,uχri,uvχri (*2),auvri,uvχre,uvχri (*2),NA,NA
NA,NA,NA,papa,papa,papa,epap,pap,NA,NA,NA,NA,NA
NA,NA,NA,pas,pa,epa,apa,NA,NA,NA,NA,NA,NA
NA,NA,NA,plus,ply,aplœ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,roue,ʁu,iχu (*2),iχu (*2),NA,NA,NA,NA,NA,NA
NA,NA,NA,rouge,ʁuʒ,rojo,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,sou,su,esu (*3),esu (*3),esu (*3),NA,NA,NA,NA,NA
NA,NA,NA,tas,ta,ta (*2),ta:,ota (*2),ta (*2),ota (*2),NA,NA,NA
NA,NA,NA,tout seul,tusøl,tusɛ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,trax,tʁaks,χras,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,vert,vɛʁ,vɛ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,voiture,vwatyʁ,tɛty (*2),tɛty (*2),NA,NA,NA,NA,NA,NA
NA,Laurent,17,aîe,ai,ʔa:i:,a:jœ,ʔai,a:i,NA,NA,NA,NA
NA,NA,NA,allo,alo,alo,ʔaʔalʌ,ʔøalo,NA,NA,NA,NA,NA
NA,NA,NA,ballon,balɔ,palɔ,bəl,NA,NA,NA,NA,NA,NA
NA,NA,NA,bébé,bebe,bəbə,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,boire,bwaʁ,ʔø:habʉa:bja,go:mabyao,NA,NA,NA,NA,NA,NA
NA,NA,NA,brosse,bʁɔs,bəla,pʌla,NA,NA,NA,NA,NA,NA
NA,NA,NA,caca,kaka,kɒka,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,canard coincoin,kanaʁ,kɔɭa,kɔlɔa,kwalakwala,NA,NA,NA,NA,NA
NA,NA,NA,chapeau,ʃapo,bolo (x2),bobo (x5),əbolo,bəbɔbo,mabəmã,NA,NA,NA
NA,NA,NA,NA,NA,pobo,bɔbobo,bɔɟə,bøilø,bølo,NA,NA,NA
NA,NA,NA,chaussures,ʃosyʁ,ʃoʃy,ʒəʃa:tizə,bɛʒɨʒeʒəje,NA,NA,NA,NA,NA
NA,NA,NA,coucou,kuku,kuku,kukɔ:,kɤkɤ,tɤdɤ,NA,NA,NA,NA
NA,NA,NA,coucou là,kukula,kukula,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,cuillère,kwijɛʁ,kola (x2),kɔja,koləkola,NA,NA,NA,NA,NA
NA,NA,NA,canard dans l'eau,kanaʁ=dalo,balad:alo,watəladlatəlo,NA,NA,NA,NA,NA,NA
NA,NA,NA,de l'eau,dəlo,dəlo,ʔθdəlo,dœɦədəlo,dəldəlo,bəl:o (x2),NA,NA,NA
NA,NA,NA,NA,NA,tola,tøldœlo,pɔlədəlo,pøtɜlo,køvɜlavatølo,NA,NA,NA
NA,NA,NA,NA,NA,bəlo,tølo,NA,NA,NA,NA,NA,NA
NA,NA,NA,Didier,didje,dədjɨ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,dodo,dodo,dodɔ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,donne nano,dɔn=nano,dəa nona,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,gateau,gato,tato (x3),təto (x2),tatø,totot,kto,NA,NA,NA
NA,NA,NA,kekette,kekɛt,kake,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Kola,kola,kɔla (x4),kəla,kolɛ̃ (x3),xola,kola,NA,NA,NA
NA,NA,NA,la dame là,ladamla,lələdala,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,maman,mama,mama,mʌmɛ,ama,mamʌ,məmʌʓəla,NA,NA,NA
NA,NA,NA,moi (là),mwa,pɔmaɥa,jemo,əma,məmamʌmʌ,NA,NA,NA,NA
NA,NA,NA,nano,nano,nano (x3),nanʌ,na:nʌ,NA,NA,NA,NA,NA
NA,NA,NA,non,nɔ,na,nəa:ɛ,na:nɔ,na:ø,nɔ,NA,NA,NA
NA,NA,NA,papa,papa,papa (*3),bapa,NA,NA,NA,NA,NA,NA
NA,NA,NA,tiens,tjɛ,ta (*3),ta,NA,NA,NA,NA,NA,NA
NA,NA,NA,voilà,vwala,wal:a,ba:laʔ,ɥala,NA,NA,NA,NA,NA
NA,NA,NA,miam,məma,mənam,ma:m,mʌmɛ,mamæ,mamam,NA,NA,NA
NA,NA,NA,hihan,hiha,apɨ,NA,NA,NA,NA,NA,NA,NA
NA,Noël,18,ballon,balɔ,βan,banɵ,NA,NA,NA,NA,NA,NA
NA,NA,NA,banane,banan,ban:,pɛ,baɖa,bəʤæ,NA,NA,NA,NA
NA,NA,NA,biberon?,bibəʁɔ,baƺabɜnɛ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ça,sa,ta (*2),ʔa,tə,ȶə,ta (*2),NA,NA,NA
NA,NA,NA,canard,kanaʁ,tɛt,tɛta,ətata,tætæ,batæ,NA,NA,NA
NA,NA,NA,chapeaux,ʃapo,pʌpʌ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,couches,kuʃ,t:ə,tɵ,ƫɵ (*2),ƫɵ (*2),NA,NA,NA,NA
NA,NA,NA,dodo,dodo,ƫəƫo,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,donne,dɔn,dʌn,dɔn,NA,NA,NA,NA,NA,NA
NA,NA,NA,fraise,fʁɛz,wʉʒʉ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,gateau,gato,taƫɵ,taƫo,tjøtato,tatatɔ,tsəƫato,pəƫaƫə,NA,NA
NA,NA,NA,NA,NA,ʌmtʃpɛtɵ,ƫataƫo (*2),ƫapa:to,tætæto,ƫataƫo (*2),NA,NA,NA
NA,NA,NA,lapin,lapɛ,pəpa,papɛ,papa,pʌp:ɛ,papʌ,papɛm,NA,NA
NA,NA,NA,NA,NA,əpəp:a,pap:əpɜ,papɛ,papɛ,papɛ,papɛ,papɛ,NA
NA,NA,NA,l’eau,lo,ʎo,ʎʌ,lʌ,lɵ,lo:,"ɭo (i, *2)","ɭo (i, *2)",NA
NA,NA,NA,main,mɛ,ma:ɛ,mna,pæma,NA,NA,NA,NA,NA
NA,NA,NA,maman,mama,ʔɛmamæ,hɛmamɜ,amama,mama,NA,NA,NA,NA
NA,NA,NA,non,nɔ,nɔ,nɔ,NA,NA,NA,NA,NA,NA
NA,NA,NA,wouf wouf,wawa,wawa,wowɔ,wawɔ,owowɔ,wø:a,ʉaʉa,NA,NA
NA,NA,NA,NA,NA,ʔɵvwa,ʔawawa,ʔɔwo,wɤwo,pøwa,wøwa,NA,NA
NA,NA,NA,pain,pɛ,pa,pʌ,pʌ,pap,ʔapæ,NA,NA,NA
NA,NA,NA,paletot,pal=to,papa,papapo,pəpapo,NA,NA,NA,NA,NA
NA,NA,NA,papa,papa,papa,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,par là,paʁ=la,pɜɭa,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,peinture,pɛtyʁ,pan,papan,pəpal,NA,NA,NA,NA,NA
NA,NA,NA,poire,pwaʁ,pə,pœn,NA,NA,NA,NA,NA,NA
NA,NA,NA,pomme,pɔm,pə,pam,pø,NA,NA,NA,NA,NA
NA,NA,NA,poule,pul,p:aɛ,pɜ:ɛ,NA,NA,NA,NA,NA,NA
NA,NA,NA,poum,pum,pʌm,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,poupée,pupe,pɜa,pəpe,NA,NA,NA,NA,NA,NA
NA,NA,NA,savon,savɔ,ʔəwə,ə:ɥɵ,NA,NA,NA,NA,NA,NA
NA,NA,NA,tiens,tjɛ,tɛtɛɲ,ten: (*2),ƫɛn (*2),tən,tøn,tʌn (*2),NA,NA
NA,NA,NA,NA,NA,tʌn (*2),tɛn (*3),ten: (*2),ƫɛn (*2),tɛn (*3),tɛn (*3),NA,NA
Estonian,Linda,16,aitäh,ɑittæhːh,ɑit:æːː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,alla,alːla,al:ʲa,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,auto,autto,ɑut:ʲo,oːt:ʲo (2),ot:ʲo,ɑt:ʲo,oːt:ʲo (2),NA,NA,NA
NA,NA,NA,Eddy,etʲi,et:ʲihːh,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Emili,emili,emi,em:i (2),em:i (2),NA,NA,NA,NA,NA
NA,NA,NA,emme,emme,m:æ,m:e,emːmeh,NA,NA,NA,NA,NA
NA,NA,NA,hästi,hæsːtʲi,æsːtʲi,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,issi,issʲi,isːsʲ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,jook,joːkː,oːːikʲ (im.),oːːk (im.),o:,NA,NA,NA,NA,NA
NA,NA,NA,juuksed,juːkkset,uːksʲ (im.),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,käes,kæeːs,kæeː (im.),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,(kiiga)-kaaga,kɑːkɑ,kɑːkɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kinni,kinːnʲi,kinːnʲi,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kõik,kɤikː,kɤkːʲ (4),kɤiʲkː (5),kɤkːʲ (4),kɤkːʲ (4),kɤkːʲ (4),NA,NA,NA
NA,NA,NA,NA,NA,kɤiʲkː (5),kɤiʲkː (5),kɤiʲkː (5),kɤiʲkː (5),NA,NA,NA,NA
NA,NA,NA,kukkus,kukːkus,kuk:us,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kukuu,kukkuːː,kok:u (im.),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,külm,kylːm,kulː (im.),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kulmud,kulmut,kul:ʲu,kul:ʲ,NA,NA,NA,NA,NA,NA
NA,NA,NA,kuum,kuːːm,puːum,ku:u,NA,NA,NA,NA,NA,NA
NA,NA,NA,liblikas,liplʲikɑs,æp:iʲ,lepi (im.),NA,NA,NA,NA,NA,NA
NA,NA,NA,mõnna,mɤnnʲɑ,mɤnːnʲɑ,mɤn:ʲɑ,NA,NA,NA,NA,NA,NA
NA,NA,NA,naba,nɑpɑ,æɓɓɑ (im.),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,nämm[-nämm],nʲæmː,æmː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,oi,oiːːʲ,oeːː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,onu,onu,onʲu,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,opa,oppɑ,æp:ɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,pall,pɑlːʲ,pɑlːʲ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,palun,pɑlun,pɑ  lu,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Paul,pɑuːl,pɑu,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,pea,peɑ,ɓɑːː (im.),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,piim,piːːm,ɓihːh,ɓi,ɓiːː,NA,NA,NA,NA,NA
NA,NA,NA,poiss,poisːs,posːsʲ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,prõnn,pprɤnːʲ,ɤnːʲ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ruttu,rutːtu,ut:ʲu (5),utːtʲu (2),utːtʲu (2),NA,NA,NA,NA,NA
NA,NA,NA,tädi,tæti,tæt:i,tætːʲ,NA,NA,NA,NA,NA,NA
NA,NA,NA,tiss,tisːs,tesːs,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,tööle,tøːːle,tøːjæ (Q2),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,tuttu,tutːtʲu,tutːtʲu,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,venna,venːɑ,n:ʲɑ,en:ʲɑ (2),NA,NA,NA,NA,NA,NA
NA,NA,NA,võtab,vɤttap,ɤː  t:ɑ,NA,NA,NA,NA,NA,NA,NA
