"piggie2017" "woof woof3076" "Michelle1793" "byebye2000" "pap pap2013" "Michelle1796" "mummy2008" "horsey2670" "rattle2620" "byebye2005" "Michelle1797" "horsey2619" "bottle1991" "bottle1995" "horsey2764" "glasses2758" "woof woof2767" "mummy2010" "piggie2019" "byebye2003"
"piggie2017" 0 10.0014529564812 14.7511013926204 9.68328718848182 15.1943637102321 12.6705480929205 10.4869454045025 16.5994227102737 10.8094762010728 9.68328718848182 14.6408039754228 9.29424380567453 6.85486006373563 5.16227766016838 7.75413521637608 8.2 7.93205080756888 9.28538328578604 5.85486006373563 9.68328718848182
"woof woof3076" 10.0014529564812 0 17.3719708509548 15.0110801560597 17.4561230191091 13.8423919201965 13.0328207323163 13.8007925419036 12.2264818256671 15.0110801560597 13.33180121499 11.3756290727477 10.5948523796786 11.5107981455552 7.68516904611383 8.51288772284482 6.27681974534503 11.3637638718627 11.3213823918831 15.0110801560597
"Michelle1793" 14.7511013926204 17.3719708509548 0 14.7074427085641 19.493145483313 7.42342075629575 15.8518509347805 20.1803159127443 14.9228697823408 14.7074427085641 13.2813019529864 16.8206905945673 13.5227244140713 15.2394945726962 11.743170862639 14.319990607984 14.4996895276858 15.8932321999296 8.89624132888474 14.7074427085641
"byebye2000" 9.68328718848182 15.0110801560597 14.7074427085641 0 9.47417843581078 12.3494366530596 13.0567541307666 19.6150088279111 15.333958028726 0 14.6029790147468 15.7481649017579 8.79080322616618 9.0173332383706 8.52913557276139 11.8480077899668 12.0277067096686 13.0981353959157 6.65685424949238 0
"pap pap2013" 15.1943637102321 17.4561230191091 19.493145483313 9.47417843581078 0 16.6125649384185 14.8831387747016 22.7811318758114 20.9616051483698 9.47417843581078 21.6734187686892 19.9685896424412 12.1450519151016 16.5077937921945 14.3464597590798 15.0141308378671 14.472749572718 13.7651047859517 14.8191319096608 9.47417843581078
"Michelle1796" 12.6705480929205 13.8423919201965 7.42342075629575 12.3494366530596 16.6125649384185 0 12.9209094095877 16.650736981986 15.1981133075471 12.3494366530596 11.3094263733743 13.9718917329854 10.5917828888785 12.8814885171917 8.21359193188069 10.7904116772257 10.9701105969275 12.9622906747368 6.81568802918491 12.3494366530596
"mummy2008" 10.4869454045025 13.0328207323163 15.8518509347805 13.0567541307666 14.8831387747016 12.9209094095877 0 17.2286476722345 14.6449803580144 13.0567541307666 15.6623158302614 15.7000639206521 7.47213595499958 9.40917511354209 9.91775318372336 9.55749573291099 9.96262057086431 3.20156211871642 8.80802897123297 13.0567541307666
"horsey2670" 16.5994227102737 13.8007925419036 20.1803159127443 19.6150088279111 22.7811318758114 16.650736981986 17.2286476722345 0 19.0400898874172 19.6150088279111 17.1642864371099 16.2844584798863 17.0921035550925 17.7444746253753 13.8223098572398 11.0139647954503 13.2500327729501 15.1428612346076 14.1297274536725 19.6150088279111
"rattle2620" 10.8094762010728 12.2264818256671 14.9228697823408 15.333958028726 20.9616051483698 15.1981133075471 14.6449803580144 19.0400898874172 0 15.333958028726 10.9916817513564 12.6602685503232 10.3444172782686 9.82896105826467 10.9916817513564 13.3275871933565 14.2150693870525 16.0885551059269 12.3511837737928 15.333958028726
"byebye2005" 9.68328718848182 15.0110801560597 14.7074427085641 0 9.47417843581078 12.3494366530596 13.0567541307666 19.6150088279111 15.333958028726 0 14.6029790147468 15.7481649017579 8.79080322616618 9.0173332383706 8.52913557276139 11.8480077899668 12.0277067096686 13.0981353959157 6.65685424949238 0
"Michelle1797" 14.6408039754228 13.33180121499 13.2813019529864 14.6029790147468 21.6734187686892 11.3094263733743 15.6623158302614 17.1642864371099 10.9916817513564 14.6029790147468 0 15.4857731364239 13.3331893095522 15.1350308788789 11.1297274536725 13.7065471990176 13.8862461187193 15.7036970954105 8.78594391168714 14.6029790147468
"horsey2619" 9.29424380567453 11.3756290727477 16.8206905945673 15.7481649017579 19.9685896424412 13.9718917329854 15.7000639206521 16.2844584798863 12.6602685503232 15.7481649017579 15.4857731364239 0 12.7218579705761 12.3199273480758 9.0957066410001 11.3510048320296 11.0830556395985 14.4985018019356 12.6178558000002 15.7481649017579
