"La-La2716" "Lucy2552" "Meira1945" "Meira1946" "Meira2553" "eira2545" "eira2546" "eisio2547" "eisio3021" "gaggag2548" "hiya2549" "hiya2715" "hwnna2550" "hwnna3022" "lorry2551" "tata2554" "tata2555" "tata3023" "tedi2556" "tedi3426" "tedi3427" "tractor2717"
"La-La2716" 0 9.35118377379279 8.30260556055697 2.64575131106459 5.22257105640962 5.40524687009122 5.34087473756208 5.8698083898953 2.69258240356725 3.3166247903554 5.77838186406145 0 6.20156211871642 3 5.74456264653803 6.32455532033676 5.85486006373563 3.3166247903554 6.47890245052378 13.8245553203368 12.3337625142594 5.3851648071345
"Lucy2552" 9.35118377379279 0 15.9688659887345 10.3120117392421 10.6340680286187 9.67324006316944 11.3317507202786 7.15259297218729 7.83733462116939 12.6678085641482 10.4160872409544 9.35118377379279 9.93968382139072 9.19683664360577 9.41366258841812 3.87228132326901 7.64719854090439 6.03455898343739 4.87228132326901 13.0961117962462 10.7271413870046 14.7363485809273
"Meira1945" 8.30260556055697 15.9688659887345 0 5.65685424949238 8.23367399483741 12.8162496897932 10.3877399176912 13.2808112095973 10.9951879641242 11.6192303509124 13.2586118053978 8.30260556055697 13.6817920600528 11.302605560557 12.4342604107147 12.9422375352784 12.5940491272961 11.6192303509124 13.2912678646603 17.6138104105322 16.3177008036498 11.3683229580945
"Meira1946" 2.64575131106459 10.3120117392421 5.65685424949238 0 2.57681974534503 7.15939544030087 4.73088566819883 7.62395696010495 5.33833371463184 5.96237610141999 7.60175755590547 2.64575131106459 8.02493781056044 5.64575131106459 6.77740616122234 7.28538328578604 6.93719487780375 5.96237610141999 7.63441361516796 14.785383285786 13.4892736789036 8.03091611819909
"Meira2553" 5.22257105640962 10.6340680286187 8.23367399483741 2.57681974534503 0 4.58257569495584 2.1540659228538 7.8521322398102 5.59363190566133 8.53919584676501 5.02493781056044 5.22257105640962 7.39980622796803 5.02061972847217 5.927499679569 7.32310562561766 6.97491721763538 6.28443239079664 7.67213595499958 14.6707553741614 13.5269960187352 10.6077358635441
"eira2545" 5.40524687009122 9.67324006316944 12.8162496897932 7.15939544030087 4.58257569495584 0 4.60868744872116 3.26955654485436 5.77630771934293 8.72187166044661 2.69258240356725 5.40524687009122 5.06745082097484 5.20329554215377 5.66242978625593 6.36227766016838 5.7 6.46710820447824 6.5166247903554 13.7099274087121 12.371484854091 10.7904116772257
"eira2546" 5.34087473756208 11.3317507202786 10.3877399176912 4.73088566819883 2.1540659228538 4.60868744872116 0 7.87824399357553 5.71193558681379 8.65749952791748 4.54862616621766 5.34087473756208 6.92349458362525 5.13892340962463 6.15638016333455 8.02078831727758 6.9 6.4027360719491 8.32249938994628 15.3684380658213 14.1773594536819 10.7260395446966
"eisio2547" 5.8698083898953 7.15259297218729 13.2808112095973 7.62395696010495 7.8521322398102 3.26955654485436 7.87824399357553 0 4.24264068711929 9.1864331802507 5.96213894842161 5.8698083898953 5.89414452228368 6.02998924346261 6.46848206938645 4.66227766016838 4 3.94646111349609 4.8166247903554 13.0566061279056 10.671484854091 11.2549731970298
"eisio3021" 2.69258240356725 7.83733462116939 10.9951879641242 5.33833371463184 5.59363190566133 5.77630771934293 5.71193558681379 4.24264068711929 0 6.00920719392265 6.14944271331316 2.69258240356725 6.70156211871642 3.5 6.03455898343739 5.22383047297721 4.75413521637608 1.80277563773199 5.37817760316423 12.3245553203368 11.2330376668999 8.07774721070176
"gaggag2548" 3.3166247903554 12.6678085641482 11.6192303509124 5.96237610141999 8.53919584676501 8.72187166044661 8.65749952791748 9.1864331802507 6.00920719392265 0 9.09500665441685 3.3166247903554 9.51818690907182 6.3166247903554 9.06118743689343 9.64118011069216 9.17148485409103 6.6332495807108 9.79552724087918 17.1411801106922 15.6503873046148 4.98387025104517
"hiya2549" 5.77838186406145 10.4160872409544 13.2586118053978 7.60175755590547 5.02493781056044 2.69258240356725 4.54862616621766 5.96213894842161 6.14944271331316 9.09500665441685 0 5.77838186406145 2.37486841740758 5.57643053612401 6.60495053657151 7.10512483795333 5.84575131106459 6.84024319844847 6.97491721763538 14.452774586497 12.829777281371 11.163546671196
"hiya2715" 0 9.35118377379279 8.30260556055697 2.64575131106459 5.22257105640962 5.40524687009122 5.34087473756208 5.8698083898953 2.69258240356725 3.3166247903554 5.77838186406145 0 6.20156211871642 3 5.74456264653803 6.32455532033676 5.85486006373563 3.3166247903554 6.47890245052378 13.8245553203368 12.3337625142594 5.3851648071345
"hwnna2550" 6.20156211871642 9.93968382139072 13.6817920600528 8.02493781056044 7.39980622796803 5.06745082097484 6.92349458362525 5.89414452228368 6.70156211871642 9.51818690907182 2.37486841740758 6.20156211871642 0 3.20156211871642 6.87386354243376 6.55087614901792 5.29150262212918 6.3638397788848 6.42066852869997 15.1087837632708 12.2755285924356 11.5867269258509
"hwnna3022" 3 9.19683664360577 11.302605560557 5.64575131106459 5.02061972847217 5.20329554215377 5.13892340962463 6.02998924346261 3.5 6.3166247903554 5.57643053612401 3 3.20156211871642 0 5.16356917074693 5.80802897123297 5.33833371463184 3.16227766016838 5.96237610141999 14.3659365854859 11.8172361651556 8.3851648071345
"lorry2551" 5.74456264653803 9.41366258841812 12.4342604107147 6.77740616122234 5.927499679569 5.66242978625593 6.15638016333455 6.46848206938645 6.03455898343739 9.06118743689343 6.60495053657151 5.74456264653803 6.87386354243376 5.16356917074693 0 6.08276253029822 6.78303865192305 6.37228132326901 6.54138126514911 13.8494102363821 12.3962413288847 11.1297274536725
"tata2554" 6.32455532033676 3.87228132326901 12.9422375352784 7.28538328578604 7.32310562561766 6.36227766016838 8.02078831727758 4.66227766016838 5.22383047297721 9.64118011069216 7.10512483795333 6.32455532033676 6.55087614901792 5.80802897123297 6.08276253029822 0 3.77491721763537 4.16227766016838 1 9.96505329790037 6.85486006373563 11.7097201274713
"tata2555" 5.85486006373563 7.64719854090439 12.5940491272961 6.93719487780375 6.97491721763538 5.7 6.9 4 4.75413521637608 9.17148485409103 5.84575131106459 5.85486006373563 5.29150262212918 5.33833371463184 6.78303865192305 3.77491721763537 0 3.69258240356725 4.15331193145904 13.7399705155357 10.0081719951947 11.2400248708701
"tata3023" 3.3166247903554 6.03455898343739 11.6192303509124 5.96237610141999 6.28443239079664 6.46710820447824 6.4027360719491 3.94646111349609 1.80277563773199 6.6332495807108 6.84024319844847 3.3166247903554 6.3638397788848 3.16227766016838 6.37228132326901 4.16227766016838 3.69258240356725 0 4.3166247903554 13.3861081331456 10.171484854091 8.7017895974899
"tedi2556" 6.47890245052378 4.87228132326901 13.2912678646603 7.63441361516796 7.67213595499958 6.5166247903554 8.32249938994628 4.8166247903554 5.37817760316423 9.79552724087918 6.97491721763538 6.47890245052378 6.42066852869997 5.96237610141999 6.54138126514911 1 4.15331193145904 4.3166247903554 0 10.9650532979004 5.85486006373563 11.8640672576583
"tedi3426" 13.8245553203368 13.0961117962462 17.6138104105322 14.785383285786 14.6707553741614 13.7099274087121 15.3684380658213 13.0566061279056 12.3245553203368 17.1411801106922 14.452774586497 13.8245553203368 15.1087837632708 14.3659365854859 13.8494102363821 9.96505329790037 13.7399705155357 13.3861081331456 10.9650532979004 0 6.30277563773199 19.2097201274713
"tedi3427" 12.3337625142594 10.7271413870046 16.3177008036498 13.4892736789036 13.5269960187352 12.371484854091 14.1773594536819 10.671484854091 11.2330376668999 15.6503873046148 12.829777281371 12.3337625142594 12.2755285924356 11.8172361651556 12.3962413288847 6.85486006373563 10.0081719951947 10.171484854091 5.85486006373563 6.30277563773199 0 17.7189273213939
"tractor2717" 5.3851648071345 14.7363485809273 11.3683229580945 8.03091611819909 10.6077358635441 10.7904116772257 10.7260395446966 11.2549731970298 8.07774721070176 4.98387025104517 11.163546671196 5.3851648071345 11.5867269258509 8.3851648071345 11.1297274536725 11.7097201274713 11.2400248708701 8.7017895974899 11.8640672576583 19.2097201274713 17.7189273213939 0
