gloss1,gloss2,Speaker_ID,word_pair,distance,Speaker,listID,distance_norm,data_type
encore1956,encore3059,Adeline_100,encore1956_encore3059,6.6332495807108,Adeline,100,0.47448543575509156,iter-A
encore3057,encore3059,Adeline_100,encore3057_encore3059,0,Adeline,100,0,iter-A
coucou2605,encore3059,Adeline_100,coucou2605_encore3059,3.3166247903554,Adeline,100,0.23724271787754578,iter-A
encore3056,encore3059,Adeline_100,encore3056_encore3059,0,Adeline,100,0,iter-A
encore3061,encore3059,Adeline_100,encore3059_encore3061,0,Adeline,100,0,iter-A
bisou3039,encore3059,Adeline_100,bisou3039_encore3059,3,Adeline,100,0.2145941125756256,iter-A
encore3063,encore3059,Adeline_100,encore3059_encore3063,0,Adeline,100,0,iter-A
bobo3130,encore3059,Adeline_100,bobo3130_encore3059,6.733551962699517,Adeline,100,0.4816602026391216,iter-A
encore3058,encore3059,Adeline_100,encore3058_encore3059,0,Adeline,100,0,iter-A
papa3135,encore3059,Adeline_100,encore3059_papa3135,6.16227766016838,Adeline,100,0.440796168642812,iter-A
vachou3068,encore3059,Adeline_100,encore3059_vachou3068,2.0615528128088303,Adeline,100,0.14746569879749857,iter-A
chapeau3048,encore3059,Adeline_100,chapeau3048_encore3059,3.1622776601683795,Adeline,100,0.22620205606718638,iter-A
coucou2603,encore3059,Adeline_100,coucou2603_encore3059,3.3166247903554,Adeline,100,0.23724271787754578,iter-A
maman2612,encore3059,Adeline_100,encore3059_maman2612,7.11788726606417,Adeline,100,0.5091522337581288,iter-A
encore3059,bobo3131,Adeline_100,bobo3131_encore3059,6.14505191510159,Adeline,100,0.43956398748412473,iter-A
encore3059,chapeau3044,Adeline_11,chapeau3044_encore3059,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
bisou3041,chapeau3044,Adeline_11,bisou3041_chapeau3044,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
au revoir3034,chapeau3044,Adeline_11,au revoir3034_chapeau3044,5.456637395784303,Adeline,11,0.39032075319843507,iter-A
encore3064,chapeau3044,Adeline_11,chapeau3044_encore3064,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
papa2614,chapeau3044,Adeline_11,chapeau3044_papa2614,3,Adeline,11,0.2145941125756256,iter-A
au revoir3037,chapeau3044,Adeline_11,au revoir3037_chapeau3044,2.692582403567252,Adeline,11,0.19260411047675313,iter-A
encore1956,chapeau3044,Adeline_11,chapeau3044_encore1956,6.3166247903554,Adeline,11,0.4518368304531714,iter-A
maman2612,chapeau3044,Adeline_11,chapeau3044_maman2612,5.80802897123297,Adeline,11,0.41545627429842097,iter-A
bobo3132,chapeau3044,Adeline_11,bobo3132_chapeau3044,3.8284271247461903,Adeline,11,0.27385264046512087,iter-A
chapeau3045,chapeau3044,Adeline_11,chapeau3044_chapeau3045,0,Adeline,11,0,iter-A
coucou2603,chapeau3044,Adeline_11,chapeau3044_coucou2603,6.47890245052378,Adeline,11,0.4634447739447322,iter-A
coucou2609,chapeau3044,Adeline_11,chapeau3044_coucou2609,6.956679734995658,Adeline,11,0.4976208380680772,iter-A
chapeau3048,chapeau3044,Adeline_11,chapeau3044_chapeau3048,0,Adeline,11,0,iter-A
bisou3038,chapeau3044,Adeline_11,bisou3038_chapeau3044,3.3166247903554,Adeline,11,0.23724271787754578,iter-A
voiture3070,chapeau3044,Adeline_11,chapeau3044_voiture3070,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
chapeau3046,chapeau3044,Adeline_11,chapeau3044_chapeau3046,0,Adeline,11,0,iter-A
encore3056,chapeau3044,Adeline_11,chapeau3044_encore3056,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
coucou3133,chapeau3044,Adeline_11,chapeau3044_coucou3133,10.664378454860074,Adeline,11,0.7628376102304397,iter-A
encore3053,chapeau3044,Adeline_11,chapeau3044_encore3053,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
chapeau3044,encore3059,Adeline_11,chapeau3044_encore3059,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
papa3135,chapeau3051,Adeline_12,chapeau3051_papa3135,3,Adeline,12,0.2145941125756256,iter-A
voilà3069,chapeau3051,Adeline_12,chapeau3051_voilà3069,4.716990566028302,Adeline,12,0.3374128015148138,iter-A
chapeau3047,chapeau3051,Adeline_12,chapeau3047_chapeau3051,0,Adeline,12,0,iter-A
encore3058,chapeau3051,Adeline_12,chapeau3051_encore3058,3.1622776601683795,Adeline,12,0.22620205606718638,iter-A
encore3062,chapeau3051,Adeline_12,chapeau3051_encore3062,3.1622776601683795,Adeline,12,0.22620205606718638,iter-A
chapeau3043,chapeau3051,Adeline_12,chapeau3043_chapeau3051,0,Adeline,12,0,iter-A
vachou3068,chapeau3051,Adeline_12,chapeau3051_vachou3068,3.2015621187164243,Adeline,12,0.2290121272405636,iter-A
bobo3130,chapeau3051,Adeline_12,bobo3130_chapeau3051,4.631202762478185,Adeline,12,0.33127628232393064,iter-A
maman2612,chapeau3051,Adeline_12,chapeau3051_maman2612,5.80802897123297,Adeline,12,0.41545627429842097,iter-A
coucou2608,chapeau3051,Adeline_12,chapeau3051_coucou2608,6.47890245052378,Adeline,12,0.4634447739447322,iter-A
au revoir3037,chapeau3051,Adeline_12,au revoir3037_chapeau3051,2.692582403567252,Adeline,12,0.19260411047675313,iter-A
oiseau3066,chapeau3051,Adeline_12,chapeau3051_oiseau3066,6.073843441985439,Adeline,12,0.43447034778538285,iter-A
au revoir3035,chapeau3051,Adeline_12,au revoir3035_chapeau3051,2.692582403567252,Adeline,12,0.19260411047675313,iter-A
encore1956,chapeau3051,Adeline_12,chapeau3051_encore1956,6.3166247903554,Adeline,12,0.4518368304531714,iter-A
encore3056,chapeau3051,Adeline_12,chapeau3051_encore3056,3.1622776601683795,Adeline,12,0.22620205606718638,iter-A
chapeau3045,chapeau3051,Adeline_12,chapeau3045_chapeau3051,0,Adeline,12,0,iter-A
au revoir3036,chapeau3051,Adeline_12,au revoir3036_chapeau3051,0,Adeline,12,0,iter-A
au revoir3031,chapeau3051,Adeline_12,au revoir3031_chapeau3051,2.692582403567252,Adeline,12,0.19260411047675313,iter-A
voiture3071,chapeau3051,Adeline_12,chapeau3051_voiture3071,3.1622776601683795,Adeline,12,0.22620205606718638,iter-A
chapeau3051,papa3135,Adeline_12,chapeau3051_papa3135,3,Adeline,12,0.2145941125756256,iter-A
bobo3130,encore3065,Adeline_13,bobo3130_encore3065,9.88670930187553,Adeline,13,0.7072098696430541,iter-A
coucou3134,encore3065,Adeline_13,coucou3134_encore3065,9.505530903979814,Adeline,13,0.6799436562999108,iter-A
encore1956,encore3065,Adeline_13,encore1956_encore3065,9.505530903979814,Adeline,13,0.6799436562999108,iter-A
encore3058,encore3065,Adeline_13,encore3058_encore3065,7.8166247903554,Adeline,13,0.5591338867409842,iter-A
encore3056,encore3065,Adeline_13,encore3056_encore3065,7.8166247903554,Adeline,13,0.5591338867409842,iter-A
coucou2606,encore3065,Adeline_13,coucou2606_encore3065,11.1332495807108,Adeline,13,0.79637660461853,iter-A
au revoir3035,encore3065,Adeline_13,au revoir3035_encore3065,6.47890245052378,Adeline,13,0.4634447739447322,iter-A
au revoir3037,encore3065,Adeline_13,au revoir3037_encore3065,6.47890245052378,Adeline,13,0.4634447739447322,iter-A
coucou2609,encore3065,Adeline_13,coucou2609_encore3065,9.79552724087918,Adeline,13,0.700687491822278,iter-A
voilà2616,encore3065,Adeline_13,encore3065_voilà2616,6.080679782572451,Adeline,13,0.43495936059922774,iter-A
coucou3133,encore3065,Adeline_13,coucou3133_encore3065,7.89920048531124,Adeline,13,0.5650406394007722,iter-A
bisou3039,encore3065,Adeline_13,bisou3039_encore3065,6.358006055504509,Adeline,13,0.454796889077148,iter-A
chapeau3051,encore3065,Adeline_13,chapeau3051_encore3065,8.033615356383702,Adeline,13,0.5746555193923596,iter-A
papa2614,encore3065,Adeline_13,encore3065_papa2614,11.033615356383702,Adeline,13,0.7892496319679853,iter-A
maman2613,encore3065,Adeline_13,encore3065_maman2613,9.867500939373318,Adeline,13,0.7058358691413231,iter-A
au revoir3032,encore3065,Adeline_13,au revoir3032_encore3065,6.47890245052378,Adeline,13,0.4634447739447322,iter-A
au revoir1955,encore3065,Adeline_13,au revoir1955_encore3065,11.781388230587655,Adeline,13,0.8427388507506259,iter-A
parti3067,encore3065,Adeline_13,encore3065_parti3067,6.8166247903554,Adeline,13,0.4876025158824423,iter-A
coucou2608,encore3065,Adeline_13,coucou2608_encore3065,11.1332495807108,Adeline,13,0.79637660461853,iter-A
encore3065,bobo3130,Adeline_13,bobo3130_encore3065,9.88670930187553,Adeline,13,0.7072098696430541,iter-A
chapeau3044,voilà3069,Adeline_14,chapeau3044_voilà3069,4.716990566028302,Adeline,14,0.3374128015148138,iter-A
bisou3038,voilà3069,Adeline_14,bisou3038_voilà3069,3.0413812651491097,Adeline,14,0.21755417119960221,iter-A
encore3055,voilà3069,Adeline_14,encore3055_voilà3069,4.5,Adeline,14,0.3218911688634384,iter-A
coucou2609,voilà3069,Adeline_14,coucou2609_voilà3069,6.47890245052378,Adeline,14,0.4634447739447322,iter-A
bisou3042,voilà3069,Adeline_14,bisou3042_voilà3069,3.5,Adeline,14,0.25035979800489655,iter-A
coucou2607,voilà3069,Adeline_14,coucou2607_voilà3069,7.8166247903554,Adeline,14,0.5591338867409842,iter-A
au revoir3031,voilà3069,Adeline_14,au revoir3031_voilà3069,3.1622776601683795,Adeline,14,0.22620205606718638,iter-A
au revoir3032,voilà3069,Adeline_14,au revoir3032_voilà3069,3.1622776601683795,Adeline,14,0.22620205606718638,iter-A
coucou2608,voilà3069,Adeline_14,coucou2608_voilà3069,7.8166247903554,Adeline,14,0.5591338867409842,iter-A
maman2612,voilà3069,Adeline_14,maman2612_voilà3069,6.550876149017918,Adeline,14,0.46859315126377726,iter-A
voilà2616,voilà3069,Adeline_14,voilà2616_voilà3069,2.764054992217051,Adeline,14,0.19771664272168193,iter-A
encore3053,voilà3069,Adeline_14,encore3053_voilà3069,4.5,Adeline,14,0.3218911688634384,iter-A
encore3061,voilà3069,Adeline_14,encore3061_voilà3069,4.5,Adeline,14,0.3218911688634384,iter-A
parti3067,voilà3069,Adeline_14,parti3067_voilà3069,3.5,Adeline,14,0.25035979800489655,iter-A
bobo3132,voilà3069,Adeline_14,bobo3132_voilà3069,7.215909318442252,Adeline,14,0.5161638855391009,iter-A
chapeau3046,voilà3069,Adeline_14,chapeau3046_voilà3069,4.716990566028302,Adeline,14,0.3374128015148138,iter-A
bisou3039,voilà3069,Adeline_14,bisou3039_voilà3069,3.0413812651491097,Adeline,14,0.21755417119960221,iter-A
papa2615,voilà3069,Adeline_14,papa2615_voilà3069,7.716990566028302,Adeline,14,0.5520069140904393,iter-A
vachou3068,voilà3069,Adeline_14,vachou3068_voilà3069,2.6457513110645907,Adeline,14,0.18925421823123462,iter-A
voilà3069,chapeau3044,Adeline_14,chapeau3044_voilà3069,4.716990566028302,Adeline,14,0.3374128015148138,iter-A
au revoir3031,coucou2608,Adeline_15,au revoir3031_coucou2608,6.6707267566050845,Adeline,15,0.4771662295227165,iter-A
bobo3131,coucou2608,Adeline_15,bobo3131_coucou2608,9.46167670545699,Adeline,15,0.6768067053616705,iter-A
au revoir1955,coucou2608,Adeline_15,au revoir1955_coucou2608,9.397304572927851,Adeline,15,0.6722020784767735,iter-A
encore3060,coucou2608,Adeline_15,coucou2608_encore3060,3.3166247903554,Adeline,15,0.23724271787754578,iter-A
maman2613,coucou2608,Adeline_15,coucou2608_maman2613,8.94427190999916,Adeline,15,0.6397960310537885,iter-A
au revoir3037,coucou2608,Adeline_15,au revoir3037_coucou2608,6.6707267566050845,Adeline,15,0.4771662295227165,iter-A
bisou3040,coucou2608,Adeline_15,bisou3040_coucou2608,6.14505191510159,Adeline,15,0.43956398748412473,iter-A
chapeau3051,coucou2608,Adeline_15,chapeau3051_coucou2608,6.47890245052378,Adeline,15,0.4634447739447322,iter-A
au revoir3036,coucou2608,Adeline_15,au revoir3036_coucou2608,6.47890245052378,Adeline,15,0.4634447739447322,iter-A
chapeau3043,coucou2608,Adeline_15,chapeau3043_coucou2608,6.47890245052378,Adeline,15,0.4634447739447322,iter-A
dodo2610,coucou2608,Adeline_15,coucou2608_dodo2610,5.656854249492381,Adeline,15,0.404642539213158,iter-A
bobo3130,coucou2608,Adeline_15,bobo3130_coucou2608,10.050176753054917,Adeline,15,0.7189029205166674,iter-A
