"beep beep2639" "Beba2111" "away1803" "quack quack3103" "baby2109" "get you2116" "baby2107" "Mummy3577" "biscuits2112" "doggy2114" "doggy2115" "doggy2641" "quack quack3146" "Daisy1804" "doggy2113" "all gone2106" "doggy2640" "flowers3101" "Mummy3102" "night night1805"
"beep beep2639" 0 9.73059678393718 11.8429398655779 9.18478874581572 7.85831546066817 5.65685424949238 6.85831546066817 11.5316741687218 21.98066781551 8.23367399483741 10.9977289870545 8.97347903984778 12.0132158705619 11.2601069338268 8.23367399483741 8.23367399483741 5.40524687009122 12.0570700690847 9.18478874581572 19.4798852460727
"Beba2111" 9.73059678393718 0 14.4850079252674 11.5045002709464 3.87228132326901 9.73059678393718 2.87228132326901 13.637962381209 20.1793443953602 8.52913557276139 11.2931905649784 8.74044527872934 14.3329273956926 11.5555685117508 8.52913557276139 8.52913557276139 5.7007084480152 8.63221894767737 11.5045002709464 21.4806683231252
"away1803" 11.8429398655779 14.4850079252674 0 12.9490174739208 12.0715609081914 11.0854373841001 11.6127266019984 15.3153211313113 26.7252304620481 8.50861763875508 11.2726726309721 11.2726726309721 15.777444598667 13.2579333673829 8.50861763875508 8.50861763875508 8.78429947725216 15.8212987971898 12.9490174739208 16.6824648109763
"quack quack3103" 9.18478874581572 11.5045002709464 12.9490174739208 0 8.80379182293118 6.08067978257245 8.63221894767737 6.95388315677219 25.0264119947949 5.5281099844341 8.29216497665115 2.76405499221705 2.82842712474619 11.3829700481697 5.5281099844341 5.5281099844341 8.35653710918029 2.87228132326901 0 18.738315870694
"baby2109" 7.85831546066817 3.87228132326901 12.0715609081914 8.80379182293118 0 7.02988833592198 1 10.9372539331938 18.6536695538567 5.82842712474619 8.59248211696324 6.03973683071413 11.6322189476774 8.83763431866884 5.82842712474619 5.82842712474619 3.82842712474619 11.6760731462002 8.80379182293118 18.9574173292382
"get you2116" 5.65685424949238 9.73059678393718 11.0854373841001 6.08067978257245 7.02988833592198 0 6.85831546066817 8.70324704397558 21.1522406907638 2.57681974534503 5.34087473756208 3.3166247903554 8.90910690731864 8.43167980908066 2.57681974534503 2.57681974534503 5.40524687009122 8.95296110584147 6.08067978257245 17.2336739948374
"baby2107" 6.85831546066817 2.87228132326901 11.6127266019984 8.63221894767737 1 6.85831546066817 0 10.76568105794 19.6536695538567 5.65685424949238 8.42090924170943 5.86816395546032 11.4606460724236 8.68328718848182 5.65685424949238 5.65685424949238 2.82842712474619 11.5045002709464 8.63221894767737 18.6083869998562
"Mummy3577" 11.5316741687218 13.637962381209 15.3153211313113 6.95388315677219 10.9372539331938 8.70324704397558 10.76568105794 0 27.5277478709417 7.93725393319377 10.7013089254108 7.44556854498298 9.78231028151838 13.7921139969294 7.93725393319377 7.93725393319377 10.76568105794 9.82616448004121 6.95388315677219 20.1106345317899
"biscuits2112" 21.98066781551 20.1793443953602 26.7252304620481 25.0264119947949 18.6536695538567 21.1522406907638 19.6536695538567 27.5277478709417 0 20.4820966786029 22.1584415215515 22.2623570025778 27.8548391195411 23.4913038725255 20.4820966786029 20.4820966786029 18.4820966786029 25.5520868362984 25.0264119947949 33.6110868830948
"doggy2114" 8.23367399483741 8.52913557276139 8.50861763875508 5.5281099844341 5.82842712474619 2.57681974534503 5.65685424949238 7.93725393319377 20.4820966786029 0 2.76405499221705 2.76405499221705 8.35653710918029 5.85486006373563 0 0 2.82842712474619 8.40039130770312 5.5281099844341 14.6568542494924
"doggy2115" 10.9977289870545 11.2931905649784 11.2726726309721 8.29216497665115 8.59248211696324 5.34087473756208 8.42090924170943 10.7013089254108 22.1584415215515 2.76405499221705 0 5.5281099844341 11.1205921013973 8.61891505595268 2.76405499221705 2.76405499221705 5.59248211696324 11.1644462999202 8.29216497665115 17.4209092417094
"doggy2641" 8.97347903984778 8.74044527872934 11.2726726309721 2.76405499221705 6.03973683071413 3.3166247903554 5.86816395546032 7.44556854498298 22.2623570025778 2.76405499221705 5.5281099844341 0 5.59248211696324 8.61891505595268 2.76405499221705 2.76405499221705 5.59248211696324 5.63633631548607 2.76405499221705 17.4209092417094
"quack quack3146" 12.0132158705619 14.3329273956926 15.777444598667 2.82842712474619 11.6322189476774 8.90910690731864 11.4606460724236 9.78231028151838 27.8548391195411 8.35653710918029 11.1205921013973 5.59248211696324 0 14.2113971729159 8.35653710918029 8.35653710918029 11.1849642339265 5.7007084480152 2.82842712474619 21.5667429954402
"Daisy1804" 11.2601069338268 11.5555685117508 13.2579333673829 11.3829700481697 8.83763431866884 8.43167980908066 8.68328718848182 13.7921139969294 23.4913038725255 5.85486006373563 8.61891505595268 8.61891505595268 14.2113971729159 0 5.85486006373563 5.85486006373563 5.85486006373563 14.2552513714387 11.3829700481697 16.9951879641242
"doggy2113" 8.23367399483741 8.52913557276139 8.50861763875508 5.5281099844341 5.82842712474619 2.57681974534503 5.65685424949238 7.93725393319377 20.4820966786029 0 2.76405499221705 2.76405499221705 8.35653710918029 5.85486006373563 0 0 2.82842712474619 8.40039130770312 5.5281099844341 14.6568542494924
