"Beba2109" "Beba2110" "Daisy1800" "Mummy2116" "Mummy3095" "Mummy3569" "all gone2105" "apple2636" "away1799" "baby2106" "baby2107" "baby2108" "beep beep2637" "biscuits2111" "biscuits3579" "doggy2112" "doggy2113" "doggy2114" "doggy2638" "doggy2639" "flowers3094" "flowers3568" "get you2115" "hello2812" "night night1801" "night night1802" "piggy2640" "quack quack3096" "quack quack3139"
"Beba2109" 0 4.54138126514911 15.0412932439863 12.0434941972832 14.9902250031819 17.1236871134445 12.0148603049969 11.8441569028811 17.9707326575029 6.35800605550451 6.35800605550451 7.35800605550451 13.2163215161727 18.2695858961969 18.2695858961969 12.0148603049969 12.0148603049969 14.7789152972139 9.1864331802507 12.2261700109648 13.1736002128265 21.2559244298339 13.2163215161727 13.2163215161727 24.9663930553607 13.3095388058684 10.1864331802507 14.9902250031819 17.8186521279281
"Beba2110" 4.54138126514911 0 11.5555685117508 8.55776946504774 11.5045002709464 13.637962381209 8.52913557276139 8 14.4850079252674 2.87228132326901 3.35410196624968 3.87228132326901 9.73059678393718 20.1793443953602 20.1793443953602 8.52913557276139 8.52913557276139 11.2931905649784 5.7007084480152 8.74044527872934 8.63221894767737 17.7701996975984 9.73059678393718 9.73059678393718 21.4806683231252 9.82381407363287 6.7007084480152 11.5045002709464 14.3329273956926
"Daisy1800" 15.0412932439863 11.5555685117508 0 9.57974302140196 11.3829700481697 13.7921139969294 5.85486006373563 14.3758695920491 13.2579333673829 8.68328718848182 11.511714313228 8.83763431866884 11.2601069338268 23.4913038725255 23.4913038725255 5.85486006373563 5.85486006373563 8.61891505595268 5.85486006373563 8.61891505595268 14.2552513714387 17.465732578468 8.43167980908066 8.43167980908066 16.9951879641242 5.33833371463184 11.666061443415 11.3829700481697 14.2113971729159
"Mummy2116" 12.0434941972832 8.55776946504774 9.57974302140196 0 5.40980630328164 10.0913198560476 5.40980630328164 12.947021163353 10.6626835616089 5.68548814177872 8.51391526652491 6.20201449088251 8.79080322616618 22.4246346627462 22.4246346627462 5.40980630328164 5.40980630328164 8.17386129549869 5.40980630328164 2.64575131106459 8.28208762655066 16.082479970103 5.96237610141999 5.96237610141999 17.5831869018778 5.92633265238543 9.0304416156287 5.40980630328164 8.23823342802783
"Mummy3095" 14.9902250031819 11.5045002709464 11.3829700481697 5.40980630328164 0 6.95388315677219 5.5281099844341 13.6282681139418 12.9490174739208 8.63221894767737 11.4606460724236 8.80379182293118 9.18478874581572 25.0264119947949 25.0264119947949 5.5281099844341 5.5281099844341 8.29216497665115 8.35653710918029 2.76405499221705 2.87228132326901 10.6726736668213 6.08067978257245 6.08067978257245 18.738315870694 8.5281099844341 9.07947366142827 0 2.82842712474619
"Mummy3569" 17.1236871134445 13.637962381209 13.7921139969294 10.0913198560476 6.95388315677219 0 7.93725393319377 15.9116141945023 15.3153211313113 10.76568105794 13.5941081826862 10.9372539331938 11.5316741687218 27.5277478709417 27.5277478709417 7.93725393319377 7.93725393319377 10.7013089254108 10.76568105794 7.44556854498298 9.82616448004121 15.1052534912846 8.70324704397558 8.70324704397558 20.1106345317899 10.9372539331938 10.9372539331938 6.95388315677219 9.78231028151838
"all gone2105" 12.0148603049969 8.52913557276139 5.85486006373563 5.40980630328164 5.5281099844341 7.93725393319377 0 11.3494366530596 8.50861763875508 5.65685424949238 8.48528137423857 5.82842712474619 8.23367399483741 20.4820966786029 20.4820966786029 0 0 2.76405499221705 2.82842712474619 2.76405499221705 8.40039130770312 11.6108725147323 2.57681974534503 2.57681974534503 14.6568542494924 3 8.65685424949238 5.5281099844341 8.35653710918029
"apple2636" 11.8441569028811 8 14.3758695920491 12.947021163353 13.6282681139418 15.9116141945023 11.3494366530596 0 14.634589801013 9.69258240356725 9.87228132326901 10.6925824035673 7.19115354047443 18.6975237523795 18.6975237523795 11.3494366530596 11.3494366530596 14.1134916452767 8.52100952831344 13.1296969770346 11.9356857103745 18.0265790413032 12.0195806652206 12.0195806652206 22.7731053584231 12.6441151539311 8.69258240356725 13.6282681139418 16.456695238688
"away1799" 17.9707326575029 14.4850079252674 13.2579333673829 10.6626835616089 12.9490174739208 15.3153211313113 8.50861763875508 14.634589801013 0 11.6127266019984 14.4411537267445 12.0715609081914 11.8429398655779 26.7252304620481 26.7252304620481 8.50861763875508 8.50861763875508 11.2726726309721 8.78429947725216 11.2726726309721 15.8212987971898 19.031780004219 11.0854373841001 11.0854373841001 16.6824648109763 10.0619692755226 12.5533815511721 12.9490174739208 15.777444598667
"baby2106" 6.35800605550451 2.87228132326901 8.68328718848182 5.68548814177872 8.63221894767737 10.76568105794 5.65685424949238 9.69258240356725 11.6127266019984 0 2.82842712474619 1 6.85831546066817 19.6536695538567 19.6536695538567 5.65685424949238 5.65685424949238 8.42090924170943 2.82842712474619 5.86816395546032 11.5045002709464 14.8979183743294 6.85831546066817 6.85831546066817 18.6083869998562 6.95153275036385 3.82842712474619 8.63221894767737 11.4606460724236
