"sleep3407" "train2502" "daddy3413" "shoes3401" "biting sound1926" "ball1920" "doggy2522" "ball1922" "ouch3025" "juice2512" "biting sound2712" "alligator1940" "alligator1931" "biting sound2711" "shoes3402" "pencil, writing2509" "biting sound2713" "alligator1929" "bath/sound of pouring water2658" "shoes3404"
"sleep3407" 0 10.9840850256964 13.4164078649987 9.30328255120913 21.2939613354961 10.1231056256177 11.6348132579692 13.2801649262326 9.16227766016838 11.8284271247462 21 10.3174066289846 10.3174066289846 21 10.5459232383284 14.2081421045271 21 10.3174066289846 9 12.1317096759553
"train2502" 10.9840850256964 0 12.3258319842781 11.2509828504656 21.759984901689 9.01713772390401 12.3341590381224 14.4629874762202 6.85486006373563 11.8455648486502 21.017137723904 10.6756483810132 10.6756483810132 21.017137723904 11.0887051902972 10.5048797793586 21.017137723904 10.6756483810132 9.01713772390401 14.0794099752117
"daddy3413" 13.4164078649987 12.3258319842781 0 9.20822139439101 16.0311288741493 7 9.99714227381436 8.80802897123297 9.16227766016838 11.8284271247462 21 9.49857113690718 9.49857113690718 21 9.37049905455939 15.0391964373853 21 9.49857113690718 9 12.0366485191372
"shoes3401" 9.30328255120913 11.2509828504656 9.20822139439101 0 18.08050271766 8.80554338726721 10.4175160976867 12.8354392633182 5.16638775206084 8.80554338726721 17.977116262521 8.74117125473807 8.74117125473807 17.977116262521 3.3166247903554 11.7881221277338 17.977116262521 8.74117125473807 5.97711626252102 2.82842712474619
"biting sound1926" 21.2939613354961 21.759984901689 16.0311288741493 18.08050271766 0 16.153311931459 19.3126811584347 16.355684194486 18.5181869090718 18.0299892434626 15.2015621187164 16.5486261662177 16.5486261662177 15.2015621187164 17.3789405989436 24.2984156895358 15.2015621187164 16.5486261662177 15.2015621187164 20.9089298424062
"ball1920" 10.1231056256177 9.01713772390401 7 8.80554338726721 16.153311931459 0 5.80379182293118 6.29150262212918 6.14505191510159 5.65685424949238 14.8284271247462 3.03973683071413 3.03973683071413 14.8284271247462 9.29374105287642 11.5555685117508 14.8284271247462 3.03973683071413 2.82842712474619 11.6339705120134
"doggy2522" 11.6348132579692 12.3341590381224 9.99714227381436 10.4175160976867 19.3126811584347 5.80379182293118 0 11.5541287512534 7.88655438216333 8.35653710918029 17.5281099844341 2.76405499221705 2.76405499221705 17.5281099844341 11.9242924062822 14.8904240118087 17.5281099844341 2.76405499221705 5.5281099844341 13.2459432224329
"ball1922" 13.2801649262326 14.4629874762202 8.80802897123297 12.8354392633182 16.355684194486 6.29150262212918 11.5541287512534 0 11.6081274124846 11.1199297468754 17.808028971233 8.79007375903636 8.79007375903636 17.808028971233 12.9977169234866 17.001418264067 17.808028971233 8.79007375903636 8.29150262212918 15.6638663880644
"ouch3025" 9.16227766016838 6.85486006373563 9.16227766016838 5.16638775206084 18.5181869090718 6.14505191510159 7.88655438216333 11.6081274124846 0 6.14505191510159 15.3166247903554 6.08067978257245 6.08067978257245 15.3166247903554 8.48301254241624 10.7448400012907 15.3166247903554 6.08067978257245 3.3166247903554 7.99481487680703
"juice2512" 11.8284271247462 11.8455648486502 11.8284271247462 8.80554338726721 18.0299892434626 5.65685424949238 8.35653710918029 11.1199297468754 6.14505191510159 0 13.1231056256177 5.59248211696324 5.59248211696324 13.1231056256177 12.1221681776226 8.72714138700465 13.1231056256177 5.59248211696324 2.82842712474619 5.97711626252102
"biting sound2712" 21 21.017137723904 21 17.977116262521 15.2015621187164 14.8284271247462 17.5281099844341 17.808028971233 15.3166247903554 13.1231056256177 0 14.7640549922171 14.7640549922171 0 21.2937410528764 21.8502470126223 0 14.7640549922171 12 19.1002218881387
"alligator1940" 10.3174066289846 10.6756483810132 9.49857113690718 8.74117125473807 16.5486261662177 3.03973683071413 2.76405499221705 8.79007375903636 6.08067978257245 5.59248211696324 14.7640549922171 0 0 14.7640549922171 10.2479475633335 13.21407916886 14.7640549922171 0 2.76405499221705 11.5695983794843
"alligator1931" 10.3174066289846 10.6756483810132 9.49857113690718 8.74117125473807 16.5486261662177 3.03973683071413 2.76405499221705 8.79007375903636 6.08067978257245 5.59248211696324 14.7640549922171 0 0 14.7640549922171 10.2479475633335 13.21407916886 14.7640549922171 0 2.76405499221705 11.5695983794843
"biting sound2711" 21 21.017137723904 21 17.977116262521 15.2015621187164 14.8284271247462 17.5281099844341 17.808028971233 15.3166247903554 13.1231056256177 0 14.7640549922171 14.7640549922171 0 21.2937410528764 21.8502470126223 0 14.7640549922171 12 19.1002218881387
"shoes3402" 10.5459232383284 11.0887051902972 9.37049905455939 3.3166247903554 17.3789405989436 9.29374105287642 11.9242924062822 12.9977169234866 8.48301254241624 12.1221681776226 21.2937410528764 10.2479475633335 10.2479475633335 21.2937410528764 0 11.6258444675654 21.2937410528764 10.2479475633335 9.29374105287642 6.14505191510159
"pencil, writing2509" 14.2081421045271 10.5048797793586 15.0391964373853 11.7881221277338 24.2984156895358 11.5555685117508 14.8904240118087 17.001418264067 10.7448400012907 8.72714138700465 21.8502470126223 13.21407916886 13.21407916886 21.8502470126223 11.6258444675654 0 21.8502470126223 13.21407916886 11.5555685117508 8.95969500298764
"biting sound2713" 21 21.017137723904 21 17.977116262521 15.2015621187164 14.8284271247462 17.5281099844341 17.808028971233 15.3166247903554 13.1231056256177 0 14.7640549922171 14.7640549922171 0 21.2937410528764 21.8502470126223 0 14.7640549922171 12 19.1002218881387
"alligator1929" 10.3174066289846 10.6756483810132 9.49857113690718 8.74117125473807 16.5486261662177 3.03973683071413 2.76405499221705 8.79007375903636 6.08067978257245 5.59248211696324 14.7640549922171 0 0 14.7640549922171 10.2479475633335 13.21407916886 14.7640549922171 0 2.76405499221705 11.5695983794843
"bath/sound of pouring water2658" 9 9.01713772390401 9 5.97711626252102 15.2015621187164 2.82842712474619 5.5281099844341 8.29150262212918 3.3166247903554 2.82842712474619 12 2.76405499221705 2.76405499221705 12 9.29374105287642 11.5555685117508 12 2.76405499221705 0 8.80554338726721
"shoes3404" 12.1317096759553 14.0794099752117 12.0366485191372 2.82842712474619 20.9089298424062 11.6339705120134 13.2459432224329 15.6638663880644 7.99481487680703 5.97711626252102 19.1002218881387 11.5695983794843 11.5695983794843 19.1002218881387 6.14505191510159 8.95969500298764 19.1002218881387 11.5695983794843 8.80554338726721 0
