"ribbit ribbit3148" "tick tock2130" "monkey3162" "quack quack3106" "woof woof2675" "what's that3109" "quack quack2126" "eeyore3105" "what's that2824" "honk honk3161" "spider2646" "eeyore2816" "what's that3108" "ribbit ribbit3107" "honk honk1807" "quack quack2645" "quack quack2127" "baby2119" "eeyore2817" "honk honk2821"
"ribbit ribbit3148" 0 16.6800720162082 15.2564887173292 15.0458020221885 11.1849642339265 17.9424042547795 13.0295966904306 12.0458020221885 12.7179280285259 14.6828105277694 19.2684457929361 11.7375340320648 10.6905967071729 7.43711457346735 14.0133913586727 14.8742291469347 13.0295966904306 15.2355632900589 11.7375340320648 11.1849642339265
"tick tock2130" 16.6800720162082 0 20.3369190569992 9.46167670545699 12.1357567000162 15.2648463622109 6.47890245052378 9.30732957526997 9.55800605550451 14.1063288182413 19.9521166617359 12.8059007121772 10.7429574427408 9.24295744274083 12.1357567000162 9.30732957526997 6.47890245052378 14.2538196681592 12.8059007121772 12.1357567000162
"monkey3162" 15.2564887173292 20.3369190569992 0 20.2850811367871 10.5830052442584 22.1409099504901 17.2850811367871 17.2850811367871 17.495812734744 11.6160579424659 13.0090284832748 11.3489983550402 17.4384825604959 14.856571364685 12.5198296281496 19.2219055206783 17.2850811367871 13.2755876478256 11.3489983550402 10.5830052442584
"quack quack3106" 15.0458020221885 9.46167670545699 20.2850811367871 0 11.4852813742386 12.1173215137356 8.65685424949238 3 8.97464332914731 15.5298375956998 17.9634543576325 12.1554253863996 11.5458823265249 7.60868744872116 14.3137084989848 5.82842712474619 8.65685424949238 16.4317714671278 12.1554253863996 11.4852813742386
"woof woof2675" 11.1849642339265 12.1357567000162 10.5830052442584 11.4852813742386 0 14.6075487547216 8.48528137423857 8.48528137423857 8.27752819336023 6 11.2132758413242 2.57681974534503 11.7961410422807 8.42090924170943 2.82842712474619 11.3137084989848 8.48528137423857 8.34943665305963 2.57681974534503 0
"what's that3109" 17.9424042547795 15.2648463622109 22.1409099504901 12.1173215137356 14.6075487547216 0 14.6075487547216 11.9482215718555 8.88497147690359 18.3182544407607 18.3652021958449 14.6452710945532 10.2493346142329 13.4554664729241 17.4359758794678 14.7766486966017 14.6075487547216 18.382465972357 14.6452710945532 14.6075487547216
"quack quack2126" 13.0295966904306 6.47890245052378 17.2850811367871 8.65685424949238 8.48528137423857 14.6075487547216 0 5.65685424949238 8.44662813524032 10.574393817161 16.9002787415238 9.15542538639956 11.7961410422807 5.59248211696324 5.65685424949238 2.82842712474619 0 11.7749172176354 9.15542538639956 8.48528137423857
"eeyore3105" 12.0458020221885 9.30732957526997 17.2850811367871 3 8.48528137423857 11.9482215718555 5.65685424949238 0 8.44662813524032 12.5298375956998 14.9634543576325 9.15542538639956 10.8123463740387 4.60868744872116 11.3137084989848 2.82842712474619 5.65685424949238 13.4317714671278 9.15542538639956 8.48528137423857
"what's that2824" 12.7179280285259 9.55800605550451 17.495812734744 8.97464332914731 8.27752819336023 8.88497147690359 8.44662813524032 8.44662813524032 0 12.3103717080445 16.8147878908428 8.17833179486363 7.15164552582131 8.38225600271119 11.1059553181064 11.2750552599865 8.44662813524032 12.5342660539763 8.17833179486363 8.27752819336023
"honk honk3161" 14.6828105277694 14.1063288182413 11.6160579424659 15.5298375956998 6 18.3182544407607 10.574393817161 12.5298375956998 12.3103717080445 0 11.5278508624905 5.37486841740758 15.5068467283198 12.4654654631707 6.87298334620742 13.4028209419072 10.574393817161 10.9387936548026 5.37486841740758 6
"spider2646" 19.2684457929361 19.9521166617359 13.0090284832748 17.9634543576325 11.2132758413242 18.3652021958449 16.9002787415238 14.9634543576325 16.8147878908428 11.5278508624905 0 8.63645609597916 19.3647751429837 16.6219650147417 13.1501002252154 16.9002787415238 16.9002787415238 15.3589268354684 8.63645609597916 11.2132758413242
"eeyore2816" 11.7375340320648 12.8059007121772 11.3489983550402 12.1554253863996 2.57681974534503 14.6452710945532 9.15542538639956 9.15542538639956 8.17833179486363 5.37486841740758 8.63645609597916 0 11.8338633821123 9.09105325387042 5.40524687009122 11.9838525111458 9.15542538639956 9.55089786423542 0 2.57681974534503
"what's that3108" 10.6905967071729 10.7429574427408 17.4384825604959 11.5458823265249 11.7961410422807 10.2493346142329 11.7961410422807 10.8123463740387 7.15164552582131 15.5068467283198 19.3647751429837 11.8338633821123 0 6.20365892531749 14.6245681670269 13.6407734987848 11.7961410422807 15.5710582599161 11.8338633821123 11.7961410422807
"ribbit ribbit3107" 7.43711457346735 9.24295744274083 14.856571364685 7.60868744872116 8.42090924170943 13.4554664729241 5.59248211696324 4.60868744872116 8.38225600271119 12.4654654631707 16.6219650147417 9.09105325387042 6.20365892531749 0 11.2493363664556 7.43711457346735 5.59248211696324 13.3673993345986 9.09105325387042 8.42090924170943
"honk honk1807" 14.0133913586727 12.1357567000162 12.5198296281496 14.3137084989848 2.82842712474619 17.4359758794678 5.65685424949238 11.3137084989848 11.1059553181064 6.87298334620742 13.1501002252154 5.40524687009122 14.6245681670269 11.2493363664556 0 8.48528137423857 5.65685424949238 9.52100952831344 5.40524687009122 2.82842712474619
