Language,Subject,Age,Gloss,IPAtarget,IPAactual1,IPAactual2,IPAactual3,IPAactual4,IPAactual5,IPAactual6,IPAactual7,IPAactual8
Japanese,Hiromi,21,foot,anjo,aija (*2),aija (*2),,,,,,
,,,Barney (dinosaur),baːniː,baːi,,,,,,,
,,,baby,beːbiː,beːbi,,,,,,,
,,,ball,boːɾɯ,boː (*2),boː (*2),,,,,,
,,,"car (BT), vroom",bɯbːɯː,bɯb:ɯː,bɯːbɯː,,,,,,
,,,fish [ENG],fiɕːɯ,piʃ,,,,,,,
,,,eight,haʨi,hacɕi,,,,,,,
,,,hippopotamus,kaba,kaba,,,,,,,
,,,duck,kakːa,kaka,,,,,,,
,,,turtle,kame,kaβa,,,,,,,
,,,cute,kawaiː,kai (*2),kai (*2),,,,,,
,,,cake,keːki,kiki (*3),kiki (*3),kiki (*3),,,,,
,,,this,koɾe,koɾe,koe (*2),kɤɛ,goe,koe neː (*4),kɤe neː,koe (*2),
,,,,,koe neː (*4),koe neː (*4),koe neː (*4),,,,,
,,,this (Hello) Kitty,koɾe kitiː,koə cɕic:ɕi,,,,,,,
,,,mom,mama,mama (*4),mapa,mɔma,mama (*4),mama (*4),mama (*4),,
,,,ear,mimi,meme (*3),meme (*3),meme (*3),,,,,
,,,neko 'cat,neko,neko (*2),neːko (*3),neko (*2),neːko (*3),neːko (*3),,,
,,,sleep,nenːe,nen:e (*4),nen:e (*4),nen:e (*4),nen:e (*4),,,,
,,,panda,pan=da,paː (*2),baː,paː (*2),,,,,
,,,daddy,papa,baba,papa (*4),bapa,bɔpa,papa (*4),papa (*4),papa (*4),
,,,butterfly,ʨoːʨo,cʲuccʲu,cʏc:ɕʏ,,,,,,
,,,doggie (BT) +dm,waŋwaŋ jo,wow:oː jo (*2),wow:oː jo (*2),,,,,,
,,,(peek-a-) boo,baː,baː,,,,,,,
,,,sh,ɕiː,ɕiː (*3),ɕiː (*3),ɕiː (*3),,,,,
,,,(lion) roar,gao,gao (*7),gao,gao (*7),gao (*7),gao (*7),gao (*7),gao (*7),
,,,,,gao (*7),,,,,,,
,,,tooth,ha,aː,,,,,,,
,,,good,iː,iː,,,,,,,
,,,eye,me,meː (*5),meh,meː (*5),meː (*5),meː (*5),meː (*5),,
,,,moo ,moː,moː (*4),moː (*4),moː (*4),moː (*4),,,,
,,,"all gone, isn't any",nai,naæ,,,,,,,
,,,kiss,ʨɯ,cʲu (*3),cʲu (*3),cʲu (*3),,,,,
,,,hand,te,teː (*3),teː (*3),teː (*3),,,,,
,,,baby (dim.),bebiːʨaŋ,biːbiːteː,,,,,,,
,,,jump-jump,ʥam=pɯʥam=pɯ,dæpdæ,,,,,,,
,,,peek-a-boo,inai inai baː,nænæ baː,noːnoːɲo baː,,,,,,
,,,kangaroo,kaŋ=gaɾɯː,kaːjɯ,gaː,,,,,,
,,,here-here,koko koko,kokokoko,, ,,,,,
,,,horsie (BT),pakapaka,pakapaka,,,,,,,
,,,foot +dm1,aŋjo jo,aijo jo,,,,,,,
,,,foot +dm2,aŋjo ne:,aijaː ne,,,,,,,
,,,cute +dm,kawaiː neː,kaːiː neː (*2),a kaːi nee,kaːiː neː (*2),,,,,
,,,this ball,koɾe boːɾɯ,koe boː,,,,,,,
,,,this (Hello) Kitty,koɾe kitiː,koə cɕic:ɕi,,,,,,,
,,,this +dm,koɾe ne,kojə ne,koe ne (*3),koɛ ne,koɛ neː (*3),kɤɛ,koɾe neː,,
,,,,,koe ne (*3),koe ne (*3),koɛ neː (*3),koɛ neː (*3),,,,
,,,sleep (dm),nenːe jo,nen:eː joː (*3),nen:eː joː (*3),nen:eː joː (*3),,,,,
,Takeru,21,ah,,a:a,a:a, ,,,,,
,,,aye-aye (lemur),,aiai,aijai,,,,,,
,,,open,,akete,kakete,,,,,,
,,,that,,aɾe,ae (*3),ae (*3),ae (*3),,,,
,,,found it,,atːa,at:æː,aʑaː, ,,,,
,,,Barney,,baːniː,baː,, ,,,,
,,,ball,,boːɾɯ,bʌːi,boːwɯ,bʷoːʌ,,,,
,,,vroom,,bɯː,bɯː (*2),bɯː (*2),,,,,
,,,choochoo,,ɕɯɕːɯː,içʔʝi,ıɕʔʑi (im.),,,,,
,,,who,,daɾe,dæjɛ,dedæ,daɟʑe,,,,
,,,did it,,dekita (*3),detaː,dekita (*3),dekita (*3),,,,
,,,please,,doːzo,dɤʑɤ,daːzʲo,,,,,
,,,juice,,ʥɯːsɯ,dʲɯː,ʑʲɯː,ʑʉː,,,,
,,,combine,,gatːai (*2),dat:ai,gatːai (*2),,,,,
,,,go go,,goː goː,gog:oː,,,,,,
,,,yes,,hai [*11],ai (*3),hai [*11],hai [*11],hai [*11],hai [*11],hai [*11],
,,,,,ai (*3),ai (*3),hai [*11],hai [*11],hai [*11],hai [*11],hai [*11],
,,,flower,,hana,ana,,,,,,
,,,good (d.m.) ,,iː ne (im.) ,iː ne,niː ne,,,,,
,,,ouch,,itai,tai,,,,,,
,,,don't want to,,jada,bat:ʲa,,,,,,
,,,hooray,,jatːaː,wætaː,jat:ʲaː,,,,,
,,,do it!,,jatːe,aːte,at:e,,,,,
,,,mom,,kakːa,kɑk:aː,gag:a,,,,,
,,,yellow ,,kiːɾo (im.),kiːdo,,,,,,
,,,train,,kiɕa,ciga,cikæ,cigʲa,,,,
,,,it broke ,,kowaɾeta (im.),joːtæː,,,,,,
,,,name of mythical creature,,makːɯɾokɯɾosɯke,mak:ʊː,,,,,,
,,,food,,mamːa  (*3),mam:a,mamːa  (*3),mamːa  (*3),,,,
,,,wait!,,matːe,mat:æː,,,,,,
,,,look!,,mite,mitɛː,,,,,,
,,,moo/cow,,moː,moː,,,,,,
,,,one more,,moːikːo,dok:o,nɔk:o,mok:o (*2),lok:o,lak:o,lɔk:o,
,,,,,mok:o (*2),,,,,,,
,,,more,,motːo,moː,,,,,,
,,,"gone, isn't any",,nai,nai (*2),nai (*2),,,,,
,,,all gone,,nai nai (*3),nainai,nai nai (*3),nai nai (*3),,,,
,,,what ,,nani,nanı (*14),nanɛ (*2),næni,nanɛ (*2),nanı (*14),nanı (*14),
,,,,,nanı (*14),nanı (*14),nanı (*14),nanı (*14),nanı (*14),nanı (*14),nanı (*14),
,,,,,nanı (*14),nanı (*14),nanı (*14),nanı (*14),,,,
,,,what color,,nani iɾo,nani nə,,,,,,
,,,discourse marker,,neː,nɛː,,,,,,
,,,big,,oːkiː,ɔk:iː,,,,,,
,,,put it there,,oite,agegʲe,,,,,,
,,,whoops,,otːo,got:oː,,,,,,
,,,bread,,papːaː,bap:aː,pap:a (*4),pap:a (*4),pap:a (*4),pap:a (*4),,
,,,pigeon (BT),,popːo,pɑp:ɤ,pop:o: (im.),pʷop:o,pop:oː,,,
,,,take (it)!,,totːe,tʊtæː,ʔotæː,tot:e (*3),tot:æ,tot:e (*3),tot:e (*3),
,,,,,tot:ʲe (*2),tot:ʲe (*2),totæː,,,,,
,,,daddy,,totːoː (*3),dot:oː,,,,,,
,,,Totoro (animation character),,totoɾo,tot:ɛt:o,dototo,totota,tototɔ,,,
,,,stuck,,tsɯita,cɕɯitaː,ʑidaː,,,,,
,,,doggie (BT),,waɴwaɴ,waːwæː (*2),waːwæː (*2),,,,,
,,,elephant,,zoːsaɴ,dʲoʑɤ,,,,,,
,Haruo,20,foot,açi  ,ʔɔʤɪ:,ʰʌçɪ:,ʌttjʰɪ:,,,,,
,,,"what's up, this is odd'",aɾe ,aɾe: (*3),aja::,aɾa:,ʔʌdɛ:,ʔʌɾɛ:,aɾe: (*3),aɾe: (*3),
,,,"here it is, found it",at:a ,atta [wh],at:ʰa,,,,,,
,,,hot,aʨ:i (im.),ʌt:ɕi: (*3),ʌt:ɕi: (*3),ʌt:ɕi: (*3),,,,,
,,,byebye,baibai,baba:,bɔba::,wawa:ɪ,,,,,
,,,cheers (hands up),baŋ=zai   (im.),dɑba:ɪ,dæba:ɪ,,,,,,
,,,baby,bebi,ɪdɛ:bɪ:,,,,,,,
,,,car,bɯbɯ ,bʊb:ɯ:,βɯβɯ:,zigɯ:,ʊ:,bʊ,,,
,,,hold me,dak:o (im.),ʔak:a,ʔʌʔkʔa,ʔʌ:daʔ,,,,,
,,,don't [not SU],dame (im.),mɛ:,,,,,,,
,,,telephone,deŋ=wa  ,daba:,,,,,,,
,,,please,do:zo ,dʲɔ:dʲɔ:,,,,,,,
,,,where [not SU],doko ,do.ko,,,,,,,
,,,fall-down sound,doŋ,dʌm,dɔn,dæ:,,,,,
,,,jump,dʑam=pɯ,dʲap:ɯ: (im.),dʲʌ:n,danpɯ: ,dʲanp,dʰæ::pɯʰ,dæmp,,
,,,juice,ʥɯ:sɯ ,ʧʊʃ:ʊ,dʲʊtʲʊ: (*4),ʧɯʧɯ:,jʊt:'ʊ,dʲʊtʲʊ: (*4),dʲʊtʲʊ: (*4),dʲʊtʲʊ: (*4),
,,,hello (telephone),haɾo:,hɯ:,,,,,,,
,,,I want it [not SU],hoɕi: (im.),hotçi:,hotʨi:,,,,,,
,,,"no, don't want to",ija ,ɪja (wh) (*2),ɪjɔ:,ɪjaɔ,ja:,ɪ:jaʰ,ɪja (wh) (*2),,
,,,peek-a-boo [not SU],inaiinai,naɪnaɪ (*3),ⁿdænaɪ,næna:ɪ (*2),nɑna:ɪ (*2),nəna:ɪja:,naɪnaɪ (*3),naɪnaɪ (*3),
,,,,,næna:ɪ (*2),nɑna:ɪ (*2),,,,,,
,,,I'm not here [not SU],inaijo  ,naɪjʌ:,naɪjɔ:,maɪjʌ:,naɪjɛ:,,,,
,,,ouch [not SU],itai  ,ito:ⁿi,ɪta:ɪ:,ətɑ:ɪ,ɪda:ɪ,ɪ:daɪ,,,
,,,please no! [not SU],jadajo,jædæjʌ::,,,,,,,
,,,effort sound,joiɕo  ,jəʃ,hɯʃ,ʃɯ,ɪʃ,ʔəʃɯ,,,
,,,here [not SU],koko ,koko,koxo,,,,,,
,,,this [not SU],kore,koʀe,,,,,,,
,,,shoes,kɯk:ɯ ,kɔk:ɔ: (*2),kɔk:ɔ: (*2),,,,,,
,,,mummy [not SU],mama ,wawa:,,,,,,,
,,,moo,mo:,mo:,,,,,,,
,,,gone,nai ,na:ɪ,na:ɪ:,naɪ,,,,,
,,,all gone,nainai  ,nɑnaɪ,naɪnʌʔ,na:naʔ,naɪnaɪ,dænɑɪ,nanɑ:ɪ (*2),,
,,,,,nænɑ:ɪ,nanɑ:ɪ (*2),nɑnɑ:ʔ,nənɑ:jɑ,nəɪnæ:ɪ,,,
,,,take off clothes,nɯgɯ ,nɯgɯ,,,,,,,
,,,fell down [not SU],oʨiʨat:a,ɑʔdʑidʑʲat:a:,,,,,,,
,,,it's over,owaʨ:at:a ,ɔdɛda:,,,,,,,
,,,horsey/gallop sd.,pakapaka,n:bak:abɯkabɯkabɯkabɯxa,,,,,,,
,,,choochoo,pop:o (im.),pʰapa:,bɯ:bɯ:,,,,,,
,,,stand up!,taʨ:I (im.),tʰæ:tʰʊ,ʔʌtʧʊ,,,,,,
,,,doggie,waŋwaŋ (im.) ,wʌwan,,,,,,,
,,,banana (child's word),namɯnamɯ  ,naməna,,,,,,,
,,,roar sound,gao (im.),gɯa:ɔ,,,,,,,
,,,rolling sound? lying down?,goroŋ (im.),gɯ:m (*2),gɯ:m (*2),,,,,,
,,,no (pulls on vest),no: ,nɔnɔɾɔnɔnɔ,,,,,,,
,Kazuko,15,shake hands,akushu,hækʊ:tʲʊʔ,ɑ:kʊtʰʊ,ɑ::kɯtʰʊ,ɑ:kɯʧʊʔ (*2),ɑ:kɯʧʊʔ (*2),,,
,,,rain,ame,ɑmʰɪʔ,ɑmɪʰ,ʌmɪ (*2),ʌmɪ (*2),,,,
,,,thank you,arigato (im.),tʰɔ,,,,,,,
,,,foot,ashi,ʔɑʤi (*2),ʔɑci (*2),ʔɑɪʃi,hɑdʲ:e,haʤ:ɪʔ,ʔɑʤi (*2),ʔɑci (*2),
,,,foot,ashi,haɪʤɪʔ,ʔɑʤi,ɑʧɪʔ (*4),ɑʤɪʔ,agʰiʔ,ɑʧɪʔ (*4),ɑʧɪʔ (*4),
,,,,,ɑ:ʤɪʔ (*3),ɑ:ʤɪʔ (*3),ɑkʰɪʔ (*2),ɑ:kʰɪʔ (*2),,,,
,,,foot,ashi,ɑ:ʤɪʔ (*3),ɑkʰɪʔ (*2),agɪʔ,ɑ:kʰɪʔ (*2),ʌkʰɪʔ,ɑʧɪʔ (*4),,
,,,foot,ashi,ʌʧɪn,ɑʧıʔ (im.),ʌʧɪnŋɔʔ,ʌʧɪ:,ʌɟɪ:,,,
,,,foot,ashi,ɑkʰɪ:,adʲɪʔ,hɑʤɪ: (*2),ɑ:ʧɪ (*2),hɑ:kʰɪʔ,,,
,,,foot,ashi,hɑ:ʧʰɪʔ,hɑʤɪ: (*2),ɑ:ʧɪ (*2),,,,,
,,,baby,bebitʃan,bebetæn,bebetan (*2),ɔbebetʰɑ,bebetɑ,bebedæn,bebetan (*2),,
,,,baby,bebitʃan,bebedaʔ,bi:bedan,bɯbɪtən,bɪbɪtʰɑ,bɪbɪtæn (*9),bɪbɪtæn (*9),bɪbɪtæn (*9),
,,,,,,bɪbɪtæn (*9),bɪbɪtæn (*9),bɪbɪtæn (*9),bɪbɪtæn (*9),bɪbɪtæn (*9),bɪbɪtæn (*9),
,,,baby,bebitʃan,bəɪbɪtan ,bɛbɪtɐn,bɪbɪtɒ:n ,bɛbɪtɔ,bebetɑ,,,
,,,,,bɪbɪtʌn (*6),bɪbɪtʌn (*6),bɪbɪtʌn (*6),bɪbɪtʌn (*6),bɪbɪtʌn (*6),bɛbɪtɑ (*2),,
,,,baby,bebitʃan,bɛbɪtɑ (*2),bɪbɪtʌn (*6),bɪbɪʤʌn ,bɪbɪtɑ,bɛbɪʧɑn,bɛbɪtɑ (*2),,
,,,baby,bebitʃan,bɪtʌn,bebetɑŋ,,,,,,
,,,Big Bird,big+bɜ:d,bʊʔkbæ:ʔ,bʊʔkɑbæ:,,,,,,
,,,hat,bo:shi,bɑ:ʤi,bɔ:ʧɪ:,bɔti: (*3),bɔʔtiwɔ,bɔ:ʧʰɪ: (*4),bɔti: (*3),bɔti: (*3),
,,,,,,,bɔ:ʧʰɪ: (*4),bɔ:ʧʰɪ: (*4),bɔ:ʧʰɪ: (*4),,,
,,,car,bubu,bœbœ (*3),bʊ:bʊ,bɯbɯ (*2),bɯ:bʊʰ,bʊ:,bɯbɯ (*2),bœbœ (*3),
,,,car,bubu,bʊ,bʊbʊʔ,bʊ:bɯʔ,bʊ:bʊʔ,bœbœ (*3),,,
,,,pig,buta (im.) ,bʊ,bɯ:bɯʔ,bʊ:bʊʔ,,,,,
,,,hold me,dak:o,tɔk:o:,gʌk:ɔ:,,,,,,
,,,telephone,den=wa,ʧɪ::wɑ,gɪ̃wɑʔ,gɪ::dwɑ̃ʔ,gʰɪnjʌʔ,gɪ:nwʌ?,,,
,,,please,do:zo,dɔ:zo,dɔ:dɔʔ,dʊ::ɬɔʔ,ⁿdɔ:dɔʔ,,,,
,,,milk,gjɯːɲjɯː,ɯʔkɑ:njʊ,,,,,,,
,,,chattering,gotogoto,gʰotogoto,,,,,,,
,,,here you are,hai,hɑɪ,hɑɪ (*2),hɑʰɪʔ,hɑɪʔ (*2),hɑɪ (*2),hɑɪʔ (*2),,
,,,hello,haɾo:,haɔ:,haɾɔ:,hæjɔ,həlɔ:,ʌl:ɔ: (*3),ʌl:ɔ: (*3),ʌl:ɔ: (*3),
,,,hello,haɾo:,ʔɑlɔ: (*4),adɔ:,ʌdɔ:,hʌd:ʲɔ:,hʌdɔʌʔ,ʔɑlɔ: (*4),ʔɑlɔ: (*4),
,,,hello,haɾo:,hʌdɔ:,aɾɔ:,hɑlɔ,,,,ʔɑlɔ: (*4),
,,,people,hito (im.),hɪʔ (*2),hɪʔ (*2),,,,,,
,,,doesn't exist,inai (im.),nɑ:ɪ,,,,,,,
,,,pouring liquid sound,jaa,da:,,,,,,,
,,,ticktock,kotʃikotʃi,kɔdikɔci ,,,,,,,
,,,mouth,kutʃi (im.),ʰʌkʊʧɪʔ,kɯʧɪʔ,,,,,,
,,,Mr. Bear,kumatʃan,kɯm:ɑtɔ,kʊmʌtæn,gʊmɑtən,ŋgʊmətən,kɯm:ɑtɑn,,,
,,,Mr. Bear,kumatʃan,gʊmɑtan,,,,,,,
,,,cloud,kumo,tʰɯmɔ,kʰɯmɔʔ,ŋkɯ::mɔ,,,,,
,,,comb,kushi (im.),kʊc:ɪ,,,,,,,
,,,ear,mimitʃan,mɛmɛtʌ,memetʌ,m:mɛmɛta,memetɑʰ (*2),mɨtɑ,memetɑʰ (*2),,
,,,ear,mimi,mɪmɪtɑ (*2),mɪmɪ (*2),ɑmɛmɛ (im.),ɔmɪmɛʔ,mɪmɪtɑ (*2),mɪmɪ (*2),,
,,,,,,,,,,,,
,,,chewing sound,mushamusha (im.),mi:tæmʊtɑmʊtɑ,,,,,,,
,,,"all gone, put away",nainai,n:ɑ,njɑ,nɑ:nɑʔ (im.),nɑɪnɔ:ɪ,,,,
,,,sleeping,nen:e,nɛn:e (*2),nen:e (*3),næn:i,nɛn:i,nɛn:ɛ,nɛn:e (*2),nen:e (*3),
,,,sleeping,nen:e,nɛn:ɛ:,nɛn:ɛ,nen:e (*3),,,,,
,,,kitty,nyan:yan,nænɑ (*2),nɑn:ɑ ,nɑnɑʔ (*2),nɒnʌ,njənɑʰ,nænɑ (*2),nɑnɑʔ (*2),
,,,kitty,nyan:yan (chan),nɑnɑʰ (*2),nænataʔ (im.),nɑnɑʰ (*2),,,,,
,,,granny,obaatʃama ,ɔbɑʧɑmɑ (im.),bʌt:ʌmʌ,bɑ:taʰ,,,,,
,,,naval,oheso,ʌʔɪ:tɔʔ,ɔhɪt'oʔ (im.),ɔɪʤɔʔ,ɔh:ɪtɔʔ,ɔhɪβɪtɔʔ,,,
,,,naval,oheso,ʌɪtʰɔʔ,ɔɪ:tɔʔ,hɔɪt'ɔ,ɾɔʒɪŋtɔ,ɔʰɛʧɔ,,,
,,,naval,oheso,hɔnətʌ:,hɔnɪtɔ,ɔʔhetɔʔ,ʌʔɛtɔ,ɔʔhɛtɔʔ,,,
,,,eyes,omeme,ʌnme:meʔ (im.),eməmə,ɔmɛmeʔ,"ɑmɪmɪʔ (*3, i)",ɔmɪmɪ,"ɑmɪmɪʔ (*3, i)","ɑmɪmɪʔ (*3, i)",
,,,eyes,omeme,jɔʔmehɪ:,bɪ:mɪʔ,,,,,,
,,,daiper,omutsu (im.),ɔʊmuʈɯʔ,ɔmʊʔ,ɔmɯʧʊ,,,,,
,,,dolly,oniŋg=jotʃan,ɔnɪtjɑ:n,ɔtʰɔʔn,,,,,,
,,,plate,osara,ɔʧʊɾaʔ,,,,,,,
,,,Mr. Horsie,oumatʃan,ɔm:ataʔ,am:ata,am:aʧa,oʊəoʊəta,oʊata (*2),oʊata (*2),,
,,,Mr. Horsie,oumatʃan,oʊmatjɔ,ɔʊmɑta,ɔʊmɑtɑo,ɔʊmɑdɑo:,omɑdɑ,,,
,,,Mr. Horsie,oumatʃan,oʊmɑtɔmɑtɑ,ɑɔmɑtʰɔʔ,ɔm:ædɑ,oʊmɑtaʔ (*3),ɑʊmadɑʔ,oʊmɑtaʔ (*3),oʊmɑtaʔ (*3),
,,,Mr. Horsie,oumatʃan,ɑmɑdʌʔ (*2),əʊmətamɑtɑ,ɔʊmʌta,ɔɪʔtʰɔʔ,ʔmʌtʰɑ (*2),ʔmʌtʰɑ (*2),ɑmɑdʌʔ (*2),
Urdu,Afan,22,mama ,mama,m:ə m:a:  (x8),ma  (x2),m:ə m:a:  (x8),m:ə m:a:  (x8),m:ə m:a:  (x8),m:ə m:a:  (x8),,
,,,,,m:ə m:a:  (x8),m:ə m:a:  (x8),m:ə m:a:  (x8),ma  (x2),,,,
,,,ajao, a:dʒao,au,,,,,,,
,,,baba,baba,ba: b:a,,,,,,,
,,,,,a:  (x9),a:  (x9),a:  (x9),a:  (x9),a:  (x9),a:  (x9),,
,,,han,ha:,a:  (x9),a:  (x9),a:  (x9),,,,,
,,,,,de: (x8),d: (x5),de: (x8),de: (x8),de: (x8),de: (x8),,
,,,yay ,je:,d: (x5),d: (x5),d: (x5),de: (x8),de: (x8),de: (x8),d: (x5),
,,,na/ nahin, nahi,na (x5),nəi (x2),na:,na (x5),na (x5),na (x5),na (x5),
,,,do,do,do,du:,,,,,,
,,,phool,pu:l,pu: (x5),pu: (x5),pu: (x5),pu: (x5),pu: (x5),,,
,,,Saima,səmi:na,i:n:a (x2),nin:a,i:n:a (x2),,,,,
,,,"mimmi BT, (o)",m:immi,mi,m:i:m:i,,,,,,
,,,Bazil,bazil,bad:e (x2),bade (x2),,,,,,
,,,AUNTI,anti,ənti,ət:i,,,,,,
,,,idhar,idar,da:,id:e,əd:ə,,,,,
,,,bhaye,bai,bai,,,,,,,
,,,bhow bhow(o),bəu bəu ,baba: (x2),,,,,,,
,,,gaye,gəi,gəi,gi,,,,,,
,,,chunti,tʃunʈi,tunti,tənti (x2),tənti (x2),,,,,
,,,ta,ta:,ta:,,,,,,,
,,,anda,ənɖɑ,ənɖɑ (x2),ənɖɑ (x2),,,,,,
,,,JUICE,dʒu:s,dʒu:,,,,,,,
,,,chai (im.),tʃa:i,ta:e:,tʃai,da:i,,,,,
,,,jaaee (im.),dʒa:e,da:e,,,,,,,
,,,"Durrain, Durri(nickname)",durri,dud:i,dəd:i,,,,,,
,,,dawaye,də va:i,da:i (x3),da:i (x3),da:i (x3),,,,,
,,,COW (im.),kau,ka:o (x2),ka:o (x2),,,,,,
,,,DOGGY BT,dɔggi,dodʒi,,,,,,,
,,,UNCLE,ʌŋkal,ənka (x6),ənkəl,ənka (x6),ənka (x6),ənka (x6),ənka (x6),ənka (x6),
,,,ganda (im.),gandə,gad:ə,,,,,,,
,,,baal(im.),ba:l,ba: (x2),ba: (x2),,,,,,
,,,udhar,udʰar,ud:ɛ,,,,,,,
,,,pani,panni,ma:n:i (x2),ma:ni,ma:n:i (x2),,,,,
,,,mam BT,mam,ma:m,,,,,,,
,,,vo,vo,vo,,,,,,,
,,,dada,dada,da:d:a (x2),da:d:a (x2),,,,,,
,,,chacha,tʃa:tʃə,ta:ta:,,,,,,,
,,,Rabia,ra:bja,bija,,,,,,,
,,,ooper,u:pər,up:a,,,,,,,
,,,yay hai,je he:,je: œ,,,,,,,
,,,JUICE do,dʒu:s do,dʒu:d:o,,,,,,,
,,,maon ajao,ma:o adʒao,mau ədau  (x2),mau ədau  (x2),,,,,,
,,,"aunti gaye hai, aunti gaye",anti gəi,ənti gəi,,,,,,,
,Radia,19,BALL,bɔl,ba:l,ba:          ,,,,,,
,,,dhakan,ɖʰakən,da:kən ,,,,,,,
,,,band,bʌnd,ba:n  ,,,,,,,
,,,daal,ɖa:l,da:l,,,,,,,
,,,chalo,tʃallo,tʃal:əu,,,,,,,
,,,BOTTLE ,bɒtəl,ba:de,ba:təl    (im.)  ,,,,,,
,,,MAMA,mamma,ma:m:a:,m:am:a,,,,,,
,,,bismillah,bismilla,bi:ʃəla:   ,bi:ʃəl:a:   ,,,,,,
,,,aur,ɔr,a:l            ,,       ,,,,,
,,,"one, two, three",wən tu: tʰri:,ti:            ,,,,,,,
,,,nahin,nəhi,nəi   ,,,,,,,
,,,khana,kʰa:na,ka:nə                ,,,,,,,
,,,Allah,əlla,əl:a            ,,,,,,,
,,,toba,tɔbba,to:b:a,,,,,,,
,,,machar,mətʃʰər,mətʃəl  ,mu:tʃəl   ,,,,,,
,,,PILLOW,pilo,pil:i:,ʃole (im.),,,,,,
,,,ganda,gəndə,ganda,,,,,,,
,,,Allahuakbar,əllahuakbar,əl:auk,,,,,,,
,,,daalu,ɖa:llu,da:l:e,,,,,,,
,,,Allahhafiz,əlla hafiz,əl:aviz,əl:abi:tʃ,,,,,,
,,,vava BT,va:hva,va:va  ,va:va,,,,,,
,,,utaro,uta:ro,ta:le,da:d o,ta:l:e:,,,,,
,,,dadi,da:di,da:di  ,da:de,,,,,,
,,,oho!,oho:,əxo    ,,,,,,,
,,,BASKET,ba:skit,ba:ket,,,,,,,
,,,Allahhu,əllahu,əl:avu,əl:aku ,ol:avu,,,,,
,,,nino BT,ni:no,ni:no,ni:nəu,,,,,,
,,,yay,je,je:   ,,,,,,,
,,,acha ,ətʃə,əʃə,,,,,,,
,,,kapra,kəpɽa,ki:la   ,,,,,,,
,,,davayee,dəva:i,da:i:    ,,,,,,,
,,,ayee!,a:i:,a:i       ,,,,,,,
,,,kharab hogya (im.),xəra:b ho gja,ka:ba:ge,,,,,,,
,,,daal dya (im.),ɖa:l dija,da:li,da:dəi,,,,,,
,,,gir gaya,gir gja,ge:ge ,,,,,,,
,,,so rahi (im.),so rəhi,ʃoli,,,,,,,
,,,"kha lo,kha lun",kʰalo,ka:lu,,,,,,,
,,,theek hai,tʰi:k hæ,ʈi:kə   ,,,,,,,
,,,kya bat hai? (im.),kjaba:thæ,kaba:ke  ,,,,,,,
,,, sona,sona,ʃol:a,ʃole  , ʃolu,,,,,
,Shazim,25,BALL,bɔl,ba:l,ta:l,da:l,,,,,
,,,yay ,je,te:,de:,e:,je:,di:,ti:,,
,,,ayee! (o),a:i:,a:i    ,əi:,a:i:,,,,,
,,,CATTY BT,kœti,ka:ti:,tʃa:ti,ta:t:i,kœt:i,ta:ti:,,,
,,,AUNTI,a:nti,a:t:i,a:t:i,a:n:i,,,,,
,,,miyon(o) BT,mi:jəo:,mao,,,,,,,
,,,TRACTOR,trœktər,ta:t:u,,,,,,,
,,,EYES,a:iz,a:i:,a:ja:,,,,,,
,,,aur,ɔr,a:i,əi,,,,,,
,,,nano,na:no:,na:nu,,,,,,,
,,,khala,kʰala,lala,lal:a,,,,,,
,,,bhayee,bʰa:i,ba:i:,,,,,,,
,,,duddu BT,duddu,dud:u,,,,,,,
,,,JUICE,dʒu:s,di:ʃ,,,,,,,
,,,MAMA,mam:a,ma:m:a,ma:m a,ma:m: a,,,,,
,,,ajao(im.),a:dʒao,a:t:u,a:du,,,,,,
,,,baow baow(o)BT,bʰəu bʰəu ,bu:bu:,,,,,,,
,,,chuchu(o) BT,tʃu:tʃu,tot:u,,,,,,,
,,,LION,lain,la:,,,,,,,
,,,Kashmir,kaʃmir,i:ʃ,,,,,,,
,,,AEROPLANE,æːropleɪn,aoplæn,a:ple:n,,,,,,
,,,mamu,ma:mu,m:a:mu,m:a:m:u,,,,,,
,,,COW,ka:o,ta:u,tʃa:o,qao,,,,,
,,,CAKE(im.),ke:k,ti: ti,,,,,,,
,,,baba,baba,ba:ba,ba:b:a,ba:b:ə,,,,,
,,,HORSE,hɔːrs,a:ʃ,,,,,,,
,,,billi,bil:i,bəl:i,,,,,,,
,,,DOGGY BT,dɒɡi,dat:i,,,,,,,
,,,chunti,tʃu:nʈi,tu:ti,,,,,,,
,,,"ajjan (o), BT",əj:a:,əj:a:,,,,,,,
,,,NO,no,nũ:,,,,,,,
,,,phuppo,pʰup:o,pup:o,,,,,,,
,,,abbu jee,əbbu dʒi,a:budʒi,,,,,,,
,,,dado,dad:o,dad:o,,,,,,,
,,,chachu,tʃa:tʃu,ta:t:u,,,,,,,
,,,yay kya hai ,je: kja he,e:tʃiə e,atla:,e:ta:,e:tja:,ta:tja,idja:,i:tja e,
,,,yay maon hai,je: mao he:,i: məu,,,,,,,
,,,AUNTI nay diya hai(im.),a:nti ne dija he:,a:t:i ne da: e (im.),,,,,,,
,,,MAMA ko ai ho gaye( i),mama ko a:i ho gəi,m:amə ai:,m:ama: a:i,,,,,,
French,Basile,20,ah,,a (*2),a (*2),,,,,,
,,,badaboum,,pu ba,,,,,,,
,,,balayer (im.),,pəele,,,,,,,
