"juna2153" "täällä2892" "tyyny1836" "tyttö3263" "tyttö3264" "lintu2160" "tonttu2171" "kukka3246" "pelle3261" "kaataa2155" "setä2168" "jalka2151" "Muumi/Moomin3251" "luumu3248" "luumu2161" "Muumi/Moomin3257" "kala2157" "kenkä2159" "nenä2165" "nalle3260"
"juna2153" 0 5.29128784747792 9 9.64118011069216 9.64118011069216 6.32455532033676 6.32455532033676 11.801906164594 9.63570512574651 8.48528137423857 6.32455532033676 5.29128784747792 8.97030663140135 8.97030663140135 6.32455532033676 8.97030663140135 7.40491834728766 0 0 8.25744613040352
"täällä2892" 5.29128784747792 0 11.872281323269 10.1332495807108 10.1332495807108 6.8166247903554 6.8166247903554 11.1332495807108 5.87228132326901 7.8166247903554 6.8166247903554 0 9.19662746008251 9.19662746008251 6.55087614901792 9.19662746008251 6.8166247903554 5.29128784747792 5.29128784747792 7.15877620891112
"tyyny1836" 9 11.872281323269 0 12.6411801106922 12.6411801106922 12.4789024505238 12.4789024505238 14.801906164594 12.6357051257465 13.5592654774747 12.4789024505238 11.872281323269 11.9703066314013 11.9703066314013 11.808028971233 11.9703066314013 13.5592654774747 9 9 11.2574461304035
"tyttö3263" 9.64118011069216 10.1332495807108 12.6411801106922 0 0 3.3166247903554 3.3166247903554 8.48528137423857 10.1622776601684 8.97347903984778 3.3166247903554 10.1332495807108 13.4164078649987 13.4164078649987 12.2608967003546 13.4164078649987 6.14505191510159 9.64118011069216 9.64118011069216 11.3247516529061
"tyttö3264" 9.64118011069216 10.1332495807108 12.6411801106922 0 0 3.3166247903554 3.3166247903554 8.48528137423857 10.1622776601684 8.97347903984778 3.3166247903554 10.1332495807108 13.4164078649987 13.4164078649987 12.2608967003546 13.4164078649987 6.14505191510159 9.64118011069216 9.64118011069216 11.3247516529061
"lintu2160" 6.32455532033676 6.8166247903554 12.4789024505238 3.3166247903554 3.3166247903554 0 0 8.97347903984778 9.53455898343739 5.65685424949238 0 6.8166247903554 11.5900232210637 11.5900232210637 8.94427190999916 11.5900232210637 2.82842712474619 6.32455532033676 6.32455532033676 10.4221157585398
"tonttu2171" 6.32455532033676 6.8166247903554 12.4789024505238 3.3166247903554 3.3166247903554 0 0 8.97347903984778 9.53455898343739 5.65685424949238 0 6.8166247903554 11.5900232210637 11.5900232210637 8.94427190999916 11.5900232210637 2.82842712474619 6.32455532033676 6.32455532033676 10.4221157585398
"kukka3246" 11.801906164594 11.1332495807108 14.801906164594 8.48528137423857 8.48528137423857 8.97347903984778 8.97347903984778 0 12.1622776601684 3.3166247903554 8.97347903984778 11.1332495807108 13.4164078649987 13.4164078649987 12.2608967003546 13.4164078649987 6.14505191510159 11.801906164594 11.801906164594 12.8160056179763
"pelle3261" 9.63570512574651 5.87228132326901 12.6357051257465 10.1622776601684 10.1622776601684 9.53455898343739 9.53455898343739 12.1622776601684 0 10.5345589834374 9.53455898343739 5.87228132326901 10.972527336075 10.972527336075 9.93968382139072 10.972527336075 9.53455898343739 9.63570512574651 9.63570512574651 7.54541769077449
"kaataa2155" 8.48528137423857 7.8166247903554 13.5592654774747 8.97347903984778 8.97347903984778 5.65685424949238 5.65685424949238 3.3166247903554 10.5345589834374 0 5.65685424949238 7.8166247903554 11.5900232210637 11.5900232210637 8.94427190999916 11.5900232210637 2.82842712474619 8.48528137423857 8.48528137423857 11.4162850685865
