"piggie2017" "apple2757" "bottle1996" "Michelle1800" "byebye2001" "glasses3081" "piggie2019" "horsey2764" "bottle1988" "baby2619" "woof woof3083" "byebye2620" "baby1987" "byebye1796" "pap pap2014" "bottle1993" "woof woof3585" "baby1983" "byebye2000" "Michelle1801"
"piggie2017" 0 5.87228132326901 7.03455898343739 9.81568802918491 7.95153275036385 11.918965693086 3 9.04668436981694 7.03455898343739 4.57681974534503 10.949101068614 6.99070478491457 5 8.99070478491457 16.1138104105322 9.53313012034457 11.7390974055134 2 5.12310562561766 11.7859439116871
"apple2757" 5.87228132326901 0 5.99070478491457 11.3932908515825 12.6522411983791 11.791247016355 8.87228132326901 8.91896569308595 5.99070478491457 9.27752819336023 8.68237102080901 9.3464597590798 6.11971497222411 11.3464597590798 17.3142746274567 5.92633265238543 11.6113787287824 6.7007084480152 9.82381407363287 14.3094263733743
"bottle1996" 7.03455898343739 5.99070478491457 0 12.8814885171917 9.0173332383706 12.3836061636014 7.18890611362441 9.51132484033235 0 8.76572585896944 11.5107981455552 11.6630845494352 5.60791263783332 11.6630845494352 16.5077937921945 3.03973683071413 14.1059553181064 6.18890611362441 6.18890611362441 15.1350308788789
"Michelle1800" 9.81568802918491 11.3932908515825 12.8814885171917 0 12.3494366530596 14.1272545202988 6.81568802918491 11.2549731970298 12.8814885171917 12.0978292736585 13.8423919201965 12.9320123480155 12.5210095283134 7.78413781367226 16.6125649384185 13.4901759659128 14.4144540640139 9.52100952831344 9.52100952831344 11.3094263733743
"byebye2001" 7.95153275036385 12.6522411983791 9.0173332383706 12.3494366530596 0 12.1038326854481 6.65685424949238 9.23155136217904 9.0173332383706 9.40524687009122 15.0110801560597 12.302605560557 9.82842712474619 11.1310326853032 9.47417843581078 12.0570700690847 9.72187166044661 6.82842712474619 2.82842712474619 14.6029790147468
"glasses3081" 11.918965693086 11.791247016355 12.3836061636014 14.1272545202988 12.1038326854481 0 11.6062449919854 2.87228132326901 12.3836061636014 11.0433843699291 9.82330654595173 13.2258159083279 14.8932908515825 14.0804234277962 17.5894031429453 12.3192340310722 8.10513737191389 11.8932908515825 11.5948529702989 11.2988273955526
"piggie2019" 3 8.87228132326901 7.18890611362441 6.81568802918491 6.65685424949238 11.6062449919854 0 8.73396366871636 7.18890611362441 6.40524687009122 11.3213823918831 8.81913190966076 6.82842712474619 5.99070478491457 14.8191319096608 9.68747725053159 11.8934445357004 3.82842712474619 3.82842712474619 8.78594391168714
"horsey2764" 9.04668436981694 8.91896569308595 9.51132484033235 11.2549731970298 9.23155136217904 2.87228132326901 8.73396366871636 0 9.51132484033235 11.5978292736585 10.3777514496811 11.666760839378 12.0210095283134 11.2081421045271 14.7171218196763 9.44695270780321 8.65958227564324 9.02100952831344 8.72257164702987 14.1711087188216
"bottle1988" 7.03455898343739 5.99070478491457 0 12.8814885171917 9.0173332383706 12.3836061636014 7.18890611362441 9.51132484033235 0 8.76572585896944 11.5107981455552 11.6630845494352 5.60791263783332 11.6630845494352 16.5077937921945 3.03973683071413 14.1059553181064 6.18890611362441 6.18890611362441 15.1350308788789
"baby2619" 4.57681974534503 9.27752819336023 8.76572585896944 12.0978292736585 9.40524687009122 11.0433843699291 6.40524687009122 11.5978292736585 8.76572585896944 0 8.39329085158246 6.67563964698657 5.57681974534503 10.879425305902 18.0509981811558 11.8054626896836 9.14505191510159 2.57681974534503 6.57681974534503 10.9246454083473
