gloss1,gloss2,Speaker_ID,word_pair,distance,Speaker,listID,distance_norm,data_type
oiseau3066,bisou3041,Adeline_100,bisou3041_oiseau3066,4.933834136077845,Adeline,100,0.1467918652329981,actual
coucou2609,bisou3041,Adeline_100,bisou3041_coucou2609,6.956679734995658,Adeline,100,0.20697574461641763,actual
chapeau3045,bisou3041,Adeline_100,bisou3041_chapeau3045,3.1622776601683795,Adeline,100,0.0940843618407024,actual
chapeau3047,bisou3041,Adeline_100,bisou3041_chapeau3047,3.1622776601683795,Adeline,100,0.0940843618407024,actual
chapeau3043,bisou3041,Adeline_100,bisou3041_chapeau3043,3.1622776601683795,Adeline,100,0.0940843618407024,actual
papa3135,bisou3041,Adeline_100,bisou3041_papa3135,6.16227766016838,Adeline,100,0.18334062452671787,actual
au revoir1955,bisou3041,Adeline_100,au revoir1955_bisou3041,8.909106907318641,Adeline,100,0.26506452880580916,actual
bisou3039,bisou3041,Adeline_100,bisou3039_bisou3041,1,Adeline,100,0.029752087562005154,actual
encore3055,bisou3041,Adeline_100,bisou3041_encore3055,2.8284271247461903,Adeline,100,0.08415161147819913,actual
au revoir3032,bisou3041,Adeline_100,au revoir3032_bisou3041,2.692582403567252,Adeline,100,0.08010994743884718,actual
encore3056,bisou3041,Adeline_100,bisou3041_encore3056,2.8284271247461903,Adeline,100,0.08415161147819913,actual
chapeau3044,bisou3041,Adeline_100,bisou3041_chapeau3044,3.1622776601683795,Adeline,100,0.0940843618407024,actual
bisou3041,encore3054,Adeline_100,bisou3041_encore3054,2.8284271247461903,Adeline,100,0.08415161147819913,actual
au revoir1955,encore3055,Adeline_11,au revoir1955_encore3055,8.909106907318641,Adeline,11,0.26506452880580916,actual
encore3058,encore3055,Adeline_11,encore3055_encore3058,0,Adeline,11,0,actual
encore3062,encore3055,Adeline_11,encore3055_encore3062,0,Adeline,11,0,actual
bisou3039,encore3055,Adeline_11,bisou3039_encore3055,3,Adeline,11,0.08925626268601547,actual
chapeau3048,encore3055,Adeline_11,chapeau3048_encore3055,3.1622776601683795,Adeline,11,0.0940843618407024,actual
voiture3071,encore3055,Adeline_11,encore3055_voiture3071,2.8284271247461903,Adeline,11,0.08415161147819913,actual
chapeau3045,encore3055,Adeline_11,chapeau3045_encore3055,3.1622776601683795,Adeline,11,0.0940843618407024,actual
chapeau3043,encore3055,Adeline_11,chapeau3043_encore3055,3.1622776601683795,Adeline,11,0.0940843618407024,actual
chapeau3047,encore3055,Adeline_11,chapeau3047_encore3055,3.1622776601683795,Adeline,11,0.0940843618407024,actual
