"found3027" "sleep3135" "baby2498" "biting sound2710" "shoes3406" "bird2515" "doggy2521" "shoes3405" "baby2499" "sleep3411" "biting sound2712" "baby2496" "biting sound1928" "hot3024" "biting sound1927" "alligator1937" "juice2511" "biting sound2715" "train2502" "sleep3409"
"found3027" 0 8.99070478491457 6.14505191510159 15.3166247903554 5.16638775206084 8.99070478491457 7.88655438216333 5.16638775206084 6.14505191510159 14.5675245302596 15.3166247903554 6.47890245052378 18.5181869090718 6.4214597296074 18.5181869090718 6.08067978257245 5.73909740551341 15.3166247903554 6.85486006373563 9.16227766016838
"sleep3135" 8.99070478491457 0 12.77995987511 17.5952415806172 11.9746433291473 10.4721359549996 12.9098887459478 11.9746433291473 12.77995987511 11.576819745345 17.5952415806172 13.1138104105322 22.5021251984622 12.8062454102056 22.5021251984622 11.5924821169632 14.729802190428 17.5952415806172 14.3290384995464 11.8284271247462
"baby2498" 6.14505191510159 12.77995987511 0 17.6568542494924 9.28736403024788 4.82842712474619 6.07947366142827 9.28736403024788 0 16.6514581213265 17.6568542494924 3.16227766016838 18.9817390562052 9.93326206399819 18.9817390562052 5.86816395546032 9.05572219586881 17.6568542494924 9.01713772390401 11.2462112512353
"biting sound2710" 15.3166247903554 17.5952415806172 17.6568542494924 0 17.977116262521 19.1231056256177 17.5281099844341 17.977116262521 17.6568542494924 24.6999253709627 0 17.9907047849146 15.2015621187164 17.9332620639982 15.2015621187164 14.7640549922171 21.0557221958688 0 21.017137723904 21
"shoes3406" 5.16638775206084 11.9746433291473 9.28736403024788 17.977116262521 0 12.1348241827146 10.4175160976867 0 9.28736403024788 14.7085294213003 17.977116262521 9.62121456567007 18.08050271766 9.84972482314427 18.08050271766 8.74117125473807 10.9054851575742 17.977116262521 11.2509828504656 9.30328255120913
"bird2515" 8.99070478491457 10.4721359549996 4.82842712474619 19.1231056256177 12.1348241827146 0 9.82556939856055 12.1348241827146 4.82842712474619 14.5210916553442 19.1231056256177 7.14505191510159 21.8595559988955 13.0563676896159 21.8595559988955 9.32699826165337 11.884149320615 19.1231056256177 12.1542591090242 14.7726990347453
"doggy2521" 7.88655438216333 12.9098887459478 6.07947366142827 17.5281099844341 10.4175160976867 9.82556939856055 0 10.4175160976867 6.07947366142827 17.0400601280604 17.5281099844341 7.86052514799171 19.3126811584347 10.4775773801902 19.3126811584347 2.76405499221705 12.5201074525689 17.5281099844341 12.3341590381224 11.6348132579692
"shoes3405" 5.16638775206084 11.9746433291473 9.28736403024788 17.977116262521 0 12.1348241827146 10.4175160976867 0 9.28736403024788 14.7085294213003 17.977116262521 9.62121456567007 18.08050271766 9.84972482314427 18.08050271766 8.74117125473807 10.9054851575742 17.977116262521 11.2509828504656 9.30328255120913
"baby2499" 6.14505191510159 12.77995987511 0 17.6568542494924 9.28736403024788 4.82842712474619 6.07947366142827 9.28736403024788 0 16.6514581213265 17.6568542494924 3.16227766016838 18.9817390562052 9.93326206399819 18.9817390562052 5.86816395546032 9.05572219586881 17.6568542494924 9.01713772390401 11.2462112512353
"sleep3411" 14.5675245302596 11.576819745345 16.6514581213265 24.6999253709627 14.7085294213003 14.5210916553442 17.0400601280604 14.7085294213003 16.6514581213265 0 24.6999253709627 15.1741038067735 26.6992082055873 18.3830651555506 26.6992082055873 15.7226534990758 16.7900955866692 24.6999253709627 16.3893318957876 5.40524687009122
