Speaker_ID,gloss1,data_type,degree,threshold
Adeline_24,coucou2606,iter-A,1,0.25
Adeline_24,coucou2608,iter-A,1,0.25
Adeline_24,encore3056,iter-A,1,0.25
Adeline_24,encore3057,iter-A,1,0.25
Adeline_24,encore3058,iter-A,1,0.25
Adeline_24,encore3059,iter-A,1,0.25
Adeline_24,encore3062,iter-A,1,0.25
Adeline_25,au revoir3033,iter-A,1,0.25
Adeline_25,bisou3038,iter-A,1,0.25
Adeline_25,bisou3039,iter-A,1,0.25
Adeline_25,chapeau3046,iter-A,1,0.25
Adeline_25,chapeau3047,iter-A,1,0.25
Adeline_25,coucou2604,iter-A,1,0.25
Adeline_25,coucou2606,iter-A,1,0.25
Adeline_25,encore3056,iter-A,1,0.25
Adeline_25,encore3059,iter-A,1,0.25
Adeline_25,voiture3071,iter-A,1,0.25
Adeline_26,au revoir3031,iter-A,1,0.25
Adeline_26,au revoir3036,iter-A,1,0.25
Adeline_26,bisou3042,iter-A,1,0.25
Adeline_26,chapeau3046,iter-A,1,0.25
Adeline_26,chapeau3048,iter-A,1,0.25
Adeline_26,chapeau3049,iter-A,1,0.25
Adeline_26,chapeau3051,iter-A,1,0.25
Adeline_26,coucou3052,iter-A,1,0.25
Adeline_26,encore3054,iter-A,1,0.25
Adeline_26,encore3059,iter-A,1,0.25
Adeline_26,encore3060,iter-A,1,0.25
Adeline_26,encore3062,iter-A,1,0.25
Adeline_26,parti3067,iter-A,1,0.25
Adeline_26,voiture3070,iter-A,1,0.25
Adeline_27,au revoir3036,iter-A,1,0.25
Adeline_27,bisou3039,iter-A,1,0.25
Adeline_27,bisou3041,iter-A,1,0.25
Adeline_27,chapeau3043,iter-A,1,0.25
Adeline_27,chapeau3044,iter-A,1,0.25
Adeline_27,chapeau3045,iter-A,1,0.25
Adeline_27,chapeau3047,iter-A,1,0.25
Adeline_27,coucou2607,iter-A,1,0.25
Adeline_27,coucou2608,iter-A,1,0.25
Adeline_27,encore3055,iter-A,1,0.25
Adeline_27,encore3060,iter-A,1,0.25
Adeline_27,encore3062,iter-A,1,0.25
Adeline_27,encore3064,iter-A,1,0.25
Adeline_27,vachou3068,iter-A,1,0.25
Adeline_28,au revoir3031,iter-A,1,0.25
Adeline_28,au revoir3033,iter-A,1,0.25
Adeline_28,au revoir3035,iter-A,1,0.25
Adeline_28,bisou3038,iter-A,1,0.25
Adeline_28,bisou3039,iter-A,1,0.25
Adeline_28,bisou3042,iter-A,1,0.25
Adeline_28,chapeau3044,iter-A,1,0.25
Adeline_28,chapeau3049,iter-A,1,0.25
Adeline_28,coucou2605,iter-A,1,0.25
Adeline_28,coucou2606,iter-A,1,0.25
Adeline_28,encore3059,iter-A,1,0.25
Adeline_28,encore3061,iter-A,1,0.25
Adeline_28,parti3067,iter-A,1,0.25
Adeline_28,vachou3068,iter-A,1,0.25
Adeline_28,voiture3070,iter-A,1,0.25
Adeline_29,au revoir3031,iter-A,1,0.25
Adeline_29,au revoir3032,iter-A,1,0.25
Adeline_29,au revoir3035,iter-A,1,0.25
Adeline_29,au revoir3037,iter-A,1,0.25
Adeline_29,bisou3042,iter-A,1,0.25
Adeline_29,chapeau3044,iter-A,1,0.25
Adeline_29,chapeau3045,iter-A,1,0.25
Adeline_29,chapeau3046,iter-A,1,0.25
Adeline_29,chapeau3049,iter-A,1,0.25
Adeline_29,coucou3052,iter-A,1,0.25
Adeline_29,encore3053,iter-A,1,0.25
Adeline_29,encore3057,iter-A,1,0.25
Adeline_29,encore3059,iter-A,1,0.25
Adeline_29,encore3060,iter-A,1,0.25
Adeline_29,voiture3071,iter-A,1,0.25
Adeline_3,au revoir3032,iter-A,1,0.25
Adeline_3,au revoir3036,iter-A,1,0.25
Adeline_3,chapeau3043,iter-A,1,0.25
Adeline_3,chapeau3046,iter-A,1,0.25
Adeline_3,chapeau3048,iter-A,1,0.25
Adeline_3,chapeau3051,iter-A,1,0.25
Adeline_3,encore3055,iter-A,1,0.25
Adeline_3,encore3056,iter-A,1,0.25
Adeline_3,encore3058,iter-A,1,0.25
Adeline_3,encore3060,iter-A,1,0.25
Adeline_3,encore3061,iter-A,1,0.25
Adeline_3,encore3062,iter-A,1,0.25
Adeline_3,encore3063,iter-A,1,0.25
Adeline_3,papa2615,iter-A,1,0.25
Adeline_3,voiture3070,iter-A,1,0.25
Adeline_30,au revoir3036,iter-A,1,0.25
Adeline_30,bisou3039,iter-A,1,0.25
Adeline_30,chapeau3044,iter-A,1,0.25
Adeline_30,chapeau3045,iter-A,1,0.25
Adeline_30,chapeau3046,iter-A,1,0.25
Adeline_30,chapeau3047,iter-A,1,0.25
Adeline_30,chapeau3051,iter-A,1,0.25
Adeline_30,encore3053,iter-A,1,0.25
Adeline_30,encore3055,iter-A,1,0.25
Adeline_30,encore3056,iter-A,1,0.25
Adeline_30,encore3059,iter-A,1,0.25
Adeline_30,encore3060,iter-A,1,0.25
Adeline_30,papa3135,iter-A,1,0.25
Adeline_30,vachou3068,iter-A,1,0.25
Adeline_31,au revoir3031,iter-A,1,0.25
Adeline_31,chapeau3045,iter-A,1,0.25
Adeline_31,chapeau3048,iter-A,1,0.25
Adeline_31,chapeau3050,iter-A,1,0.25
