"cwaccwac3449" "dau, tri2659" "blodau2526" "blodau3421" "blodau3424" "cadw3425" "mwnci2542" "eh-oh3427" "Bwgan2527" "helo2537" "dau, tri2531" "adar2525" "lala3451" "mwnci3430" "dau, tri2530" "giraffe2660" "dau, tri2533" "blodau3420" "mwnci2541" "babi3416"
"cwaccwac3449" 0 15.8448390360096 11.8896145616396 17.546468811132 17.546468811132 12.4696072354383 9.27900089177539 12.5481761525344 12.5452462476763 9.0173332383706 9.64118011069216 9.30732957526997 15.0957464203308 12.5956256821308 9.64118011069216 17.141367972245 9.64118011069216 17.546468811132 8.96237610141999 11.801906164594
"dau, tri2659" 15.8448390360096 0 15.279599173904 18.1875414285203 18.1875414285203 12.5282142456542 13.3267645509351 16.4726235421556 19.3174693358497 12.407317850635 6.20365892531749 9.36593658548587 14.9896028370046 16.6433893412906 6.20365892531749 17.6482215718555 6.20365892531749 18.1875414285203 14.1997478971426 15.3566413704004
"blodau2526" 11.8896145616396 15.279599173904 0 10.0881906417113 10.0881906417113 9.0759402485865 10.0180326343336 14.6564191369413 13.6732884494009 6.87228132326901 9.0759402485865 9.91366258841812 11.7791216299754 13.334657424689 9.0759402485865 16.4033935841329 9.0759402485865 10.0881906417113 9.15808757897386 10.0881906417113
"blodau3421" 17.546468811132 18.1875414285203 10.0881906417113 0 0 12.0691179668748 14.5353658727042 18.0511865094561 19.7339419527759 16.9604719649803 14.897545091621 15.7352674314526 21.8673122716867 15.0235635383134 14.897545091621 24.1116155264544 14.897545091621 0 15.3418467079665 5.74456264653803
"blodau3424" 17.546468811132 18.1875414285203 10.0881906417113 0 0 12.0691179668748 14.5353658727042 18.0511865094561 19.7339419527759 16.9604719649803 14.897545091621 15.7352674314526 21.8673122716867 15.0235635383134 14.897545091621 24.1116155264544 14.897545091621 0 15.3418467079665 5.74456264653803
"cadw3425" 12.4696072354383 12.5282142456542 9.0759402485865 12.0691179668748 12.0691179668748 0 8.80802897123297 11.8102496759067 14.7987337561475 10.2036589253175 6.32455532033676 7.16227766016838 15.1104992320239 8.64575131106459 6.32455532033676 20.597545091621 6.32455532033676 12.0691179668748 9.68101231744039 6.32455532033676
"mwnci2542" 9.27900089177539 13.3267645509351 10.0180326343336 14.5353658727042 14.5353658727042 8.80802897123297 0 10.2841378136723 9.14505191510159 9.08257569495584 7.12310562561766 7.58257569495584 14.3676682721557 3.3166247903554 7.12310562561766 18.8347764766339 7.12310562561766 14.5353658727042 3.16227766016838 8.79080322616618
"eh-oh3427" 12.5481761525344 16.4726235421556 14.6564191369413 18.0511865094561 18.0511865094561 11.8102496759067 10.2841378136723 0 16.3051473419857 7.78413781367226 10.2689646168381 7.10668695666975 16.6909781203787 9.58257569495584 10.2689646168381 21.6427777191316 10.2689646168381 18.0511865094561 11.6892626516256 12.3066238629181
"Bwgan2527" 12.5452462476763 19.3174693358497 13.6732884494009 19.7339419527759 19.7339419527759 14.7987337561475 9.14505191510159 16.3051473419857 0 14.0510577643423 13.1138104105322 13.5732804798704 19.3361503415421 12.461676705457 13.1138104105322 20.2688913136425 13.1138104105322 19.7339419527759 9.70141047095361 15.302605560557
"helo2537" 9.0173332383706 12.407317850635 6.87228132326901 16.9604719649803 16.9604719649803 10.2036589253175 9.08257569495584 7.78413781367226 14.0510577643423 0 6.20365892531749 3.04138126514911 8.90684030670641 12.3992004853112 6.20365892531749 16.2576422730683 6.20365892531749 16.9604719649803 8.2226306395961 11.2159093184423
"dau, tri2531" 9.64118011069216 6.20365892531749 9.0759402485865 14.897545091621 14.897545091621 6.32455532033676 7.12310562561766 10.2689646168381 13.1138104105322 6.20365892531749 0 3.16227766016838 8.78594391168714 10.4397304159731 0 14.2729897712842 0 14.897545091621 7.99608897182508 9.15298244508295
"adar2525" 9.30732957526997 9.36593658548587 9.91366258841812 15.7352674314526 15.7352674314526 7.16227766016838 7.58257569495584 7.10668695666975 13.5732804798704 3.04138126514911 3.16227766016838 0 11.9482215718555 10.8992004853112 3.16227766016838 17.4352674314526 3.16227766016838 15.7352674314526 8.45555904116326 9.99070478491457
"lala3451" 15.0957464203308 14.9896028370046 11.7791216299754 21.8673122716867 21.8673122716867 15.1104992320239 14.3676682721557 16.6909781203787 19.3361503415421 8.90684030670641 8.78594391168714 11.9482215718555 0 17.6842930625111 8.78594391168714 18.8399272594379 8.78594391168714 21.8673122716867 13.5077232167959 16.1227496251487
"mwnci3430" 12.5956256821308 16.6433893412906 13.334657424689 15.0235635383134 15.0235635383134 8.64575131106459 3.3166247903554 9.58257569495584 12.461676705457 12.3992004853112 10.4397304159731 10.8992004853112 17.6842930625111 0 10.4397304159731 22.1514012669893 10.4397304159731 15.0235635383134 6.47890245052378 9.27900089177539
"dau, tri2530" 9.64118011069216 6.20365892531749 9.0759402485865 14.897545091621 14.897545091621 6.32455532033676 7.12310562561766 10.2689646168381 13.1138104105322 6.20365892531749 0 3.16227766016838 8.78594391168714 10.4397304159731 0 14.2729897712842 0 14.897545091621 7.99608897182508 9.15298244508295
"giraffe2660" 17.141367972245 17.6482215718555 16.4033935841329 24.1116155264544 24.1116155264544 20.597545091621 18.8347764766339 21.6427777191316 20.2688913136425 16.2576422730683 14.2729897712842 17.4352674314526 18.8399272594379 22.1514012669893 14.2729897712842 0 14.2729897712842 24.1116155264544 17.5709638143095 21.0935828921208
"dau, tri2533" 9.64118011069216 6.20365892531749 9.0759402485865 14.897545091621 14.897545091621 6.32455532033676 7.12310562561766 10.2689646168381 13.1138104105322 6.20365892531749 0 3.16227766016838 8.78594391168714 10.4397304159731 0 14.2729897712842 0 14.897545091621 7.99608897182508 9.15298244508295
"blodau3420" 17.546468811132 18.1875414285203 10.0881906417113 0 0 12.0691179668748 14.5353658727042 18.0511865094561 19.7339419527759 16.9604719649803 14.897545091621 15.7352674314526 21.8673122716867 15.0235635383134 14.897545091621 24.1116155264544 14.897545091621 0 15.3418467079665 5.74456264653803
"mwnci2541" 8.96237610141999 14.1997478971426 9.15808757897386 15.3418467079665 15.3418467079665 9.68101231744039 3.16227766016838 11.6892626516256 9.70141047095361 8.2226306395961 7.99608897182508 8.45555904116326 13.5077232167959 6.47890245052378 7.99608897182508 17.5709638143095 7.99608897182508 15.3418467079665 0 9.59728406142844
"babi3416" 11.801906164594 15.3566413704004 10.0881906417113 5.74456264653803 5.74456264653803 6.32455532033676 8.79080322616618 12.3066238629181 15.302605560557 11.2159093184423 9.15298244508295 9.99070478491457 16.1227496251487 9.27900089177539 9.15298244508295 21.0935828921208 9.15298244508295 5.74456264653803 9.59728406142844 0
