"pin pon716" "maman694" "pin pon714" "pin pon719" "livre690" "bravo670" "pin pon720" "maman699" "livre682" "canard/coin-coin674" "livre688" "coucou677" "nonnon709" "musique703" "canard/coin-coin671" "pin pon717" "voiture722" "est là1280" "encore1277" "canard/coin-coin675"
"pin pon716" 0 6.32455532033676 0 0 12.1265635356239 3.69258240356725 0 6.32455532033676 12.1265635356239 7.63441361516796 12.1265635356239 6.32455532033676 8.94427190999916 9.97890245052378 7.63441361516796 0 8.61891505595268 7.7169905660283 6.16227766016838 7.63441361516796
"maman694" 6.32455532033676 0 6.32455532033676 6.32455532033676 10.5028320794739 6.14575131106459 6.32455532033676 0 10.5028320794739 7.63441361516796 10.5028320794739 8.94427190999916 6.32455532033676 7.46993672181444 7.63441361516796 6.32455532033676 10.7361909472166 6.55087614901792 7.11788726606417 7.63441361516796
"pin pon714" 0 6.32455532033676 0 0 12.1265635356239 3.69258240356725 0 6.32455532033676 12.1265635356239 7.63441361516796 12.1265635356239 6.32455532033676 8.94427190999916 9.97890245052378 7.63441361516796 0 8.61891505595268 7.7169905660283 6.16227766016838 7.63441361516796
"pin pon719" 0 6.32455532033676 0 0 12.1265635356239 3.69258240356725 0 6.32455532033676 12.1265635356239 7.63441361516796 12.1265635356239 6.32455532033676 8.94427190999916 9.97890245052378 7.63441361516796 0 8.61891505595268 7.7169905660283 6.16227766016838 7.63441361516796
"livre690" 12.1265635356239 10.5028320794739 12.1265635356239 12.1265635356239 0 10.2423422574317 12.1265635356239 10.5028320794739 0 9.48387025104517 0 11.6925824035673 7.27515809852309 9.4952947817028 9.48387025104517 12.1265635356239 12.1189150559527 5.56486372683627 10.0648637268363 9.48387025104517
"bravo670" 3.69258240356725 6.14575131106459 3.69258240356725 3.69258240356725 10.2423422574317 0 3.69258240356725 6.14575131106459 10.2423422574317 6.8166247903554 10.2423422574317 6.67072675660508 7.62310562561766 8.19844407891978 6.8166247903554 3.69258240356725 7.9566373957843 5.99070478491457 6.18252909099587 6.8166247903554
"pin pon720" 0 6.32455532033676 0 0 12.1265635356239 3.69258240356725 0 6.32455532033676 12.1265635356239 7.63441361516796 12.1265635356239 6.32455532033676 8.94427190999916 9.97890245052378 7.63441361516796 0 8.61891505595268 7.7169905660283 6.16227766016838 7.63441361516796
"maman699" 6.32455532033676 0 6.32455532033676 6.32455532033676 10.5028320794739 6.14575131106459 6.32455532033676 0 10.5028320794739 7.63441361516796 10.5028320794739 8.94427190999916 6.32455532033676 7.46993672181444 7.63441361516796 6.32455532033676 10.7361909472166 6.55087614901792 7.11788726606417 7.63441361516796
"livre682" 12.1265635356239 10.5028320794739 12.1265635356239 12.1265635356239 0 10.2423422574317 12.1265635356239 10.5028320794739 0 9.48387025104517 0 11.6925824035673 7.27515809852309 9.4952947817028 9.48387025104517 12.1265635356239 12.1189150559527 5.56486372683627 10.0648637268363 9.48387025104517
"canard/coin-coin674" 7.63441361516796 7.63441361516796 7.63441361516796 7.63441361516796 9.48387025104517 6.8166247903554 7.63441361516796 7.63441361516796 9.48387025104517 0 9.48387025104517 4.24264068711928 4.24264068711928 10.4813431489222 0 7.63441361516796 9.28043461863512 5.60791263783332 7.55926547747468 0
