"piggie2017" "beep beep2663" "horsey2672" "horsey2762" "baby1986" "open2768" "Michelle1798" "byebye2006" "byebye2001" "mummy2010" "glasses3081" "bottle1991" "horsey2761" "bottle1997" "Michelle3150" "horsey2764" "baby1984" "glasses3143" "bottle1992" "byebye2620"
"piggie2017" 0 13.7915893099835 17.1297274536725 9.04668436981694 2 10.1231056256177 6.04138126514911 7.95153275036385 7.95153275036385 9.01713772390401 11.918965693086 6.66084879707556 6.04138126514911 6.03455898343739 8.91118965504441 9.04668436981694 5 15.6971258539536 6.32455532033676 6.99070478491457
"beep beep2663" 13.7915893099835 0 19.9674985011213 17.195812943259 12.4351352060132 17.7322451317446 14.1836287341527 14.7322451317446 14.7322451317446 14.5041238681513 16.6413680395297 15.0836647805374 14.1815545894341 14.7609185158516 15.677795209022 17.195812943259 13.9072711610128 12.0210095283134 14.6896792608879 16.5339551076547
"horsey2672" 17.1297274536725 19.9674985011213 0 16.8636911223889 16.7865817031649 16.9581545784187 13.8223098572398 19.6150088279111 19.6150088279111 15.7286476722345 17.33338637899 17.210407236245 13.8223098572398 17.9160475006291 16.6945911805088 16.8636911223889 17.5939992995977 19.6958090587634 17.0921035550925 17.1128856046325
"horsey2762" 9.04668436981694 17.195812943259 16.8636911223889 0 9.02100952831344 6.24294338386553 8.42654607228361 9.23155136217904 9.23155136217904 12.5309161181991 2.87228132326901 6.5746713845342 4.10679596594035 9.68289771558616 9.62780549425379 0 12.0210095283134 14.272922362483 6.45636770338174 11.666760839378
"baby1986" 2 12.4351352060132 16.7865817031649 9.02100952831344 0 9.82842712474619 6.02998924346261 6.82842712474619 6.82842712474619 7.98408502569643 11.8932908515825 6.35636162106953 6.02998924346261 7.18890611362441 9.23155136217904 9.02100952831344 3 15.1690988747296 5.96237610141999 5.47417843581078
"open2768" 10.1231056256177 17.7322451317446 16.9581545784187 6.24294338386553 9.82842712474619 0 8.52100952831344 3.82842712474619 3.82842712474619 12.9209094095877 9.11522470713455 9.08067978257245 5.87228132326901 12.1889061136244 11.3932908515825 6.24294338386553 12.8284271247462 14.8093545509686 8.96237610141999 12.4741784358108
"Michelle1798" 6.04138126514911 14.1836287341527 13.8223098572398 8.42654607228361 6.02998924346261 8.52100952831344 0 8.8584163682088 8.8584163682088 9.61033558729061 11.2988273955526 7.52257295931802 5.3851648071345 9.23028737877352 5.52100952831344 8.42654607228361 9.02998924346261 13.5801855629737 7.58862666301416 9.92885612215115
"byebye2006" 7.95153275036385 14.7322451317446 19.6150088279111 9.23155136217904 6.82842712474619 3.82842712474619 8.8584163682088 0 0 12.7493365343339 12.1038326854481 9.18478874581572 8.52913557276139 10.0173332383706 11.7306976914778 9.23155136217904 9.82842712474619 17.4662088004609 8.79080322616618 12.302605560557
"byebye2001" 7.95153275036385 14.7322451317446 19.6150088279111 9.23155136217904 6.82842712474619 3.82842712474619 8.8584163682088 0 0 12.7493365343339 12.1038326854481 9.18478874581572 8.52913557276139 10.0173332383706 11.7306976914778 9.23155136217904 9.82842712474619 17.4662088004609 8.79080322616618 12.302605560557
"mummy2010" 9.01713772390401 14.5041238681513 15.7286476722345 12.5309161181991 7.98408502569643 12.9209094095877 9.61033558729061 12.7493365343339 12.7493365343339 0 15.4031974414681 9.31878428142063 9.61033558729061 10.7966912753363 12.3189209629529 12.5309161181991 8.49306474084561 17.0608615505396 7.16471835856683 8.16676083937803
"glasses3081" 11.918965693086 16.6413680395297 17.33338637899 2.87228132326901 11.8932908515825 9.11522470713455 11.2988273955526 12.1038326854481 12.1038326854481 15.4031974414681 0 9.44695270780321 6.97907728920936 12.5551790388552 12.5000868175228 2.87228132326901 14.8932908515825 13.7184774587536 9.32864902665075 13.2258159083279
"bottle1991" 6.66084879707556 15.0836647805374 17.210407236245 6.5746713845342 6.35636162106953 9.08067978257245 7.52257295931802 9.18478874581572 9.18478874581572 9.31878428142063 9.44695270780321 0 4.56683062994905 6.3708524601762 8.8371509314408 6.5746713845342 9.35636162106953 14.7135194860105 2.1540659228538 8.29911783795539
"horsey2761" 6.04138126514911 14.1815545894341 13.8223098572398 4.10679596594035 6.02998924346261 5.87228132326901 5.3851648071345 8.52913557276139 8.52913557276139 9.61033558729061 6.97907728920936 4.56683062994905 0 7.67505696100101 5.52100952831344 4.10679596594035 9.02998924346261 11.2586640086581 4.44852694879659 8.67574055452721
"bottle1997" 6.03455898343739 14.7609185158516 17.9160475006291 9.68289771558616 7.18890611362441 12.1889061136244 9.23028737877352 10.0173332383706 10.0173332383706 10.7966912753363 12.5551790388552 6.3708524601762 7.67505696100101 0 8.48421184752136 9.68289771558616 6.60791263783332 17.8217458170624 6.03455898343739 12.179610898539
"Michelle3150" 8.91118965504441 15.677795209022 16.6945911805088 9.62780549425379 9.23155136217904 11.3932908515825 5.52100952831344 11.7306976914778 11.7306976914778 12.3189209629529 12.5000868175228 8.8371509314408 5.52100952831344 8.48421184752136 0 9.62780549425379 10.2761075836403 16.7796735369716 8.90320463513695 13.1304182408676
"horsey2764" 9.04668436981694 17.195812943259 16.8636911223889 0 9.02100952831344 6.24294338386553 8.42654607228361 9.23155136217904 9.23155136217904 12.5309161181991 2.87228132326901 6.5746713845342 4.10679596594035 9.68289771558616 9.62780549425379 0 12.0210095283134 14.272922362483 6.45636770338174 11.666760839378
"baby1984" 5 13.9072711610128 17.5939992995977 12.0210095283134 3 12.8284271247462 9.02998924346261 9.82842712474619 9.82842712474619 8.49306474084561 14.8932908515825 9.35636162106953 9.02998924346261 6.60791263783332 10.2761075836403 12.0210095283134 0 18.1690988747296 8.96237610141999 8.47417843581078
"glasses3143" 15.6971258539536 12.0210095283134 19.6958090587634 14.272922362483 15.1690988747296 14.8093545509686 13.5801855629737 17.4662088004609 17.4662088004609 17.0608615505396 13.7184774587536 14.7135194860105 11.2586640086581 17.8217458170624 16.7796735369716 14.272922362483 18.1690988747296 0 14.595215804858 16.4394916516249
"bottle1992" 6.32455532033676 14.6896792608879 17.0921035550925 6.45636770338174 5.96237610141999 8.96237610141999 7.58862666301416 8.79080322616618 8.79080322616618 7.16471835856683 9.32864902665075 2.1540659228538 4.44852694879659 6.03455898343739 8.90320463513695 6.45636770338174 8.96237610141999 14.595215804858 0 6.14505191510159
"byebye2620" 6.99070478491457 16.5339551076547 17.1128856046325 11.666760839378 5.47417843581078 12.4741784358108 9.92885612215115 12.302605560557 12.302605560557 8.16676083937803 13.2258159083279 8.29911783795539 8.67574055452721 12.179610898539 13.1304182408676 11.666760839378 8.47417843581078 16.4394916516249 6.14505191510159 0
