"helo2536" "dau, tri2531" "dau, tri2528" "Noa1944" "blodau2524" "sbinc-sbanc2544" "helo2535" "mwnci2541" "mwnci2538" "cwaccwac2527" "mwnci3424" "mwnci2539" "Guto2533" "dau, tri2530" "babi3412" "cadw3419" "tedi3425" "blodau3414" "adar2523" "blodau3413"
"helo2536" 0 6.20365892531749 6.20365892531749 6.74526466947643 6.87228132326901 13.8023326048086 0 11.5392554299515 11.5392554299515 5.7007084480152 12.3992004853112 8.2226306395961 9.11522470713455 6.20365892531749 11.2159093184423 10.2036589253175 9.36593658548587 16.9604719649803 3.04138126514911 16.9604719649803
"dau, tri2531" 6.20365892531749 0 0 5.80802897123297 9.0759402485865 12.4868329805051 6.20365892531749 11.3127137621805 11.3127137621805 6.32455532033676 10.4397304159731 7.99608897182508 6.07384344198544 0 9.15298244508295 6.32455532033676 3.16227766016838 14.897545091621 3.16227766016838 14.897545091621
"dau, tri2528" 6.20365892531749 0 0 5.80802897123297 9.0759402485865 12.4868329805051 6.20365892531749 11.3127137621805 11.3127137621805 6.32455532033676 10.4397304159731 7.99608897182508 6.07384344198544 0 9.15298244508295 6.32455532033676 3.16227766016838 14.897545091621 3.16227766016838 14.897545091621
"Noa1944" 6.74526466947643 5.80802897123297 5.80802897123297 0 9.86766827215569 13.1138104105322 6.74526466947643 9.47890245052378 9.47890245052378 3 9.79552724087918 6.16227766016838 9.80947620107277 5.80802897123297 9.77995987511004 10.4476609459544 8.97030663140135 15.5245225216481 7.0352610063758 15.5245225216481
"blodau2524" 6.87228132326901 9.0759402485865 9.0759402485865 9.86766827215569 0 12.6746139280777 6.87228132326901 12.4747123693293 12.4747123693293 8.57298977128422 13.334657424689 9.15808757897386 6.24294338386553 9.0759402485865 10.0881906417113 9.0759402485865 12.2382179087549 10.0881906417113 9.91366258841812 10.0881906417113
"sbinc-sbanc2544" 13.8023326048086 12.4868329805051 12.4868329805051 13.1138104105322 12.6746139280777 0 13.8023326048086 12.518734657272 12.518734657272 11.8191319096608 15.4412785519438 12.6810123174404 15.3983987623222 12.4868329805051 12.9907047849146 12.4868329805051 15.6491106406735 15.7420897131643 13.3245553203368 15.7420897131643
"helo2535" 0 6.20365892531749 6.20365892531749 6.74526466947643 6.87228132326901 13.8023326048086 0 11.5392554299515 11.5392554299515 5.7007084480152 12.3992004853112 8.2226306395961 9.11522470713455 6.20365892531749 11.2159093184423 10.2036589253175 9.36593658548587 16.9604719649803 3.04138126514911 16.9604719649803
"mwnci2541" 11.5392554299515 11.3127137621805 11.3127137621805 9.47890245052378 12.4747123693293 12.518734657272 11.5392554299515 0 0 8.96237610141999 9.79552724087918 3.3166247903554 13.8368066774672 11.3127137621805 12.9139088517838 12.9976371077958 14.4749914223489 16.9695653846975 11.7721838315187 16.9695653846975
"mwnci2538" 11.5392554299515 11.3127137621805 11.3127137621805 9.47890245052378 12.4747123693293 12.518734657272 11.5392554299515 0 0 8.96237610141999 9.79552724087918 3.3166247903554 13.8368066774672 11.3127137621805 12.9139088517838 12.9976371077958 14.4749914223489 16.9695653846975 11.7721838315187 16.9695653846975
"cwaccwac2527" 5.7007084480152 6.32455532033676 6.32455532033676 3 8.57298977128422 11.8191319096608 5.7007084480152 8.96237610141999 8.96237610141999 0 9.27900089177539 5.64575131106459 8.72714138700465 6.32455532033676 8.48528137423857 9.15298244508295 9.48683298050514 14.2298440207766 5.99070478491457 14.2298440207766
"mwnci3424" 12.3992004853112 10.4397304159731 10.4397304159731 9.79552724087918 13.334657424689 15.4412785519438 12.3992004853112 9.79552724087918 9.79552724087918 9.27900089177539 0 6.47890245052378 12.9638233312598 10.4397304159731 9.27900089177539 8.64575131106459 10.1231056256177 15.0235635383134 10.8992004853112 15.0235635383134
"mwnci2539" 8.2226306395961 7.99608897182508 7.99608897182508 6.16227766016838 9.15808757897386 12.6810123174404 8.2226306395961 3.3166247903554 3.3166247903554 5.64575131106459 6.47890245052378 0 10.5201818871118 7.99608897182508 9.59728406142844 9.68101231744039 11.1583666319935 15.3418467079665 8.45555904116326 15.3418467079665
