gloss1,gloss2,Speaker,word_pair,distance,distance_norm,data_type
au revoir1475,bisou994,Adeline,au revoir1475_bisou994,7.828550094463031,0.6475288073150004,target
bisou994,bisou995,Adeline,bisou994_bisou995,0,0,target
bisou994,bobo999,Adeline,bisou994_bobo999,3.3541019662496847,0.2774303823328255,target
bisou995,bobo999,Adeline,bisou995_bobo999,3.3541019662496847,0.2774303823328255,target
bisou996,bobo999,Adeline,bisou996_bobo999,3.3541019662496847,0.2774303823328255,target
bisou997,bobo999,Adeline,bisou997_bobo999,3.3541019662496847,0.2774303823328255,target
bisou998,bobo999,Adeline,bisou998_bobo999,3.3541019662496847,0.2774303823328255,target
bobo1000,bobo999,Adeline,bobo1000_bobo999,0,0,target
bobo1001,bobo999,Adeline,bobo1001_bobo999,0,0,target
chapeau1002,bobo999,Adeline,bobo999_chapeau1002,4.201562118716424,0.34752699730651,target
chapeau1003,bobo999,Adeline,bobo999_chapeau1003,4.201562118716424,0.34752699730651,target
chapeau1004,bobo999,Adeline,bobo999_chapeau1004,4.201562118716424,0.34752699730651,target
chapeau1005,bobo999,Adeline,bobo999_chapeau1005,4.201562118716424,0.34752699730651,target
chapeau1006,bobo999,Adeline,bobo999_chapeau1006,4.201562118716424,0.34752699730651,target
chapeau1007,bobo999,Adeline,bobo999_chapeau1007,4.201562118716424,0.34752699730651,target
chapeau1008,bobo999,Adeline,bobo999_chapeau1008,4.201562118716424,0.34752699730651,target
chapeau1009,bobo999,Adeline,bobo999_chapeau1009,4.201562118716424,0.34752699730651,target
chapeau1010,bobo999,Adeline,bobo999_chapeau1010,4.201562118716424,0.34752699730651,target
coucou1011,bobo999,Adeline,bobo999_coucou1011,6.6332495807108,0.5486610084616192,target
coucou1012,bobo999,Adeline,bobo999_coucou1012,6.6332495807108,0.5486610084616192,target
coucou1013,bobo999,Adeline,bobo999_coucou1013,6.6332495807108,0.5486610084616192,target
coucou1014,bobo999,Adeline,bobo999_coucou1014,6.6332495807108,0.5486610084616192,target
coucou1015,bobo999,Adeline,bobo999_coucou1015,6.6332495807108,0.5486610084616192,target
coucou1016,bobo999,Adeline,bobo999_coucou1016,6.6332495807108,0.5486610084616192,target
coucou1017,bobo999,Adeline,bobo999_coucou1017,6.6332495807108,0.5486610084616192,target
coucou1018,bobo999,Adeline,bobo999_coucou1018,6.6332495807108,0.5486610084616192,target
coucou1019,bobo999,Adeline,bobo999_coucou1019,6.6332495807108,0.5486610084616192,target
coucou1020,bobo999,Adeline,bobo999_coucou1020,6.6332495807108,0.5486610084616192,target
dodo1021,bobo999,Adeline,bobo999_dodo1021,6.324555320336759,0.5231277457459134,target
maman1022,bobo999,Adeline,bobo999_maman1022,5.291502622129181,0.437680073636487,target
maman1023,bobo999,Adeline,bobo999_maman1023,5.291502622129181,0.437680073636487,target
maman1024,bobo999,Adeline,bobo999_maman1024,5.291502622129181,0.437680073636487,target
oiseau1025,bobo999,Adeline,bobo999_oiseau1025,6.393838796963817,0.5288584425474432,target
papa1026,bobo999,Adeline,bobo999_papa1026,2,0.16542751837865455,target
papa1027,bobo999,Adeline,bobo999_papa1027,2,0.16542751837865455,target
papa1028,bobo999,Adeline,bobo999_papa1028,2,0.16542751837865455,target
parti1029,bobo999,Adeline,bobo999_parti1029,7.14505191510159,0.5909941035009546,target
vachou1030,bobo999,Adeline,bobo999_vachou1030,5.701562118716424,0.4715976360905009,target
voilà1031,bobo999,Adeline,bobo999_voilà1031,9.651537185913114,0.7983149226024547,target
voilà1032,bobo999,Adeline,bobo999_voilà1032,9.651537185913114,0.7983149226024547,target
voiture1033,bobo999,Adeline,bobo999_voiture1033,8.580679782572451,0.7097402812164268,target
voiture1034,bobo999,Adeline,bobo999_voiture1034,8.580679782572451,0.7097402812164268,target
encore1326,bobo999,Adeline,bobo999_encore1326,6.14505191510159,0.5082803443116273,target
encore1327,bobo999,Adeline,bobo999_encore1327,6.14505191510159,0.5082803443116273,target
encore1328,bobo999,Adeline,bobo999_encore1328,6.14505191510159,0.5082803443116273,target
encore1329,bobo999,Adeline,bobo999_encore1329,6.14505191510159,0.5082803443116273,target
encore1330,bobo999,Adeline,bobo999_encore1330,6.14505191510159,0.5082803443116273,target
encore1331,bobo999,Adeline,bobo999_encore1331,6.14505191510159,0.5082803443116273,target
encore1332,bobo999,Adeline,bobo999_encore1332,6.14505191510159,0.5082803443116273,target
encore1333,bobo999,Adeline,bobo999_encore1333,6.14505191510159,0.5082803443116273,target
encore1334,bobo999,Adeline,bobo999_encore1334,6.14505191510159,0.5082803443116273,target
encore1335,bobo999,Adeline,bobo999_encore1335,6.14505191510159,0.5082803443116273,target
encore1336,bobo999,Adeline,bobo999_encore1336,6.14505191510159,0.5082803443116273,target
encore1337,bobo999,Adeline,bobo999_encore1337,6.14505191510159,0.5082803443116273,target
encore1338,bobo999,Adeline,bobo999_encore1338,6.14505191510159,0.5082803443116273,target
encore1339,bobo999,Adeline,bobo999_encore1339,6.14505191510159,0.5082803443116273,target
au revoir1468,bobo999,Adeline,au revoir1468_bobo999,8.092482116963241,0.669359617066435,target
au revoir1469,bobo999,Adeline,au revoir1469_bobo999,8.092482116963241,0.669359617066435,target
au revoir1470,bobo999,Adeline,au revoir1470_bobo999,8.092482116963241,0.669359617066435,target
au revoir1471,bobo999,Adeline,au revoir1471_bobo999,8.092482116963241,0.669359617066435,target
au revoir1472,bobo999,Adeline,au revoir1472_bobo999,8.092482116963241,0.669359617066435,target
au revoir1473,bobo999,Adeline,au revoir1473_bobo999,8.092482116963241,0.669359617066435,target
au revoir1474,bobo999,Adeline,au revoir1474_bobo999,8.092482116963241,0.669359617066435,target
au revoir1475,bobo999,Adeline,au revoir1475_bobo999,8.092482116963241,0.669359617066435,target
bobo999,bobo1000,Adeline,bobo1000_bobo999,0,0,target
bisou994,chapeau1002,Adeline,bisou994_chapeau1002,6.701562118716424,0.5543113952798282,target
bisou995,chapeau1002,Adeline,bisou995_chapeau1002,6.701562118716424,0.5543113952798282,target
bisou996,chapeau1002,Adeline,bisou996_chapeau1002,6.701562118716424,0.5543113952798282,target
bisou997,chapeau1002,Adeline,bisou997_chapeau1002,6.701562118716424,0.5543113952798282,target
bisou998,chapeau1002,Adeline,bisou998_chapeau1002,6.701562118716424,0.5543113952798282,target
