"idhar1888" "idhar3558" "baba2697" "JUICE do3366" "mama3350" "dawaye1891" "mama3356" "UNCLE2948" "mama3352" "AUNTI3556" "dada3365" "AUNTI2942" "mama1879" "dawaye1889" "dawaye1890" "pani2388" "Durrain3359" "baba2696" "na/ nahin1882" "na/ nahin1887"
"idhar1888" 0 9.48683298050514 3.16227766016838 8.82455532033676 12.0603595588114 0 12.0603595588114 9.47890245052378 12.0603595588114 9.79552724087918 6.32455532033676 9.47890245052378 4.12310562561766 0 0 7.12310562561766 6.32455532033676 3.16227766016838 2.64575131106459 2.64575131106459
"idhar3558" 9.48683298050514 0 6.32455532033676 5.66227766016838 15.2226372189798 9.48683298050514 15.2226372189798 9.12465376158837 15.2226372189798 2 3.16227766016838 9.12465376158837 8.97030663140135 9.48683298050514 9.48683298050514 8.45378028229756 3.16227766016838 6.32455532033676 9.32455532033676 9.32455532033676
"baba2697" 3.16227766016838 6.32455532033676 0 11.9868329805051 10.5830052442584 3.16227766016838 10.5830052442584 6.3166247903554 10.5830052442584 6.6332495807108 9.48683298050514 6.3166247903554 2.64575131106459 3.16227766016838 3.16227766016838 5.64575131106459 9.48683298050514 0 3 3
"JUICE do3366" 8.82455532033676 5.66227766016838 11.9868329805051 0 19.1999915335329 8.82455532033676 19.1999915335329 14.7869314217567 19.1999915335329 7.66227766016838 2.5 14.7869314217567 12.9476609459544 8.82455532033676 8.82455532033676 12.4311345968506 2.5 11.9868329805051 11.4703066314013 11.4703066314013
"mama3350" 12.0603595588114 15.2226372189798 10.5830052442584 19.1999915335329 0 12.0603595588114 0 14.4161563837176 0 15.7260146785488 16.6999915335329 14.4161563837176 7.93725393319377 12.0603595588114 12.0603595588114 8.45378028229756 16.6999915335329 10.5830052442584 11.0995315933622 11.0995315933622
"dawaye1891" 0 9.48683298050514 3.16227766016838 8.82455532033676 12.0603595588114 0 12.0603595588114 9.47890245052378 12.0603595588114 9.79552724087918 6.32455532033676 9.47890245052378 4.12310562561766 0 0 7.12310562561766 6.32455532033676 3.16227766016838 2.64575131106459 2.64575131106459
"mama3356" 12.0603595588114 15.2226372189798 10.5830052442584 19.1999915335329 0 12.0603595588114 0 14.4161563837176 0 15.7260146785488 16.6999915335329 14.4161563837176 7.93725393319377 12.0603595588114 12.0603595588114 8.45378028229756 16.6999915335329 10.5830052442584 11.0995315933622 11.0995315933622
"UNCLE2948" 9.47890245052378 9.12465376158837 6.3166247903554 14.7869314217567 14.4161563837176 9.47890245052378 14.4161563837176 0 14.4161563837176 9.79552724087918 12.2869314217567 2.82842712474619 8.96237610141999 9.47890245052378 9.47890245052378 5.96237610141999 12.2869314217567 6.3166247903554 9.3166247903554 9.3166247903554
"mama3352" 12.0603595588114 15.2226372189798 10.5830052442584 19.1999915335329 0 12.0603595588114 0 14.4161563837176 0 15.7260146785488 16.6999915335329 14.4161563837176 7.93725393319377 12.0603595588114 12.0603595588114 8.45378028229756 16.6999915335329 10.5830052442584 11.0995315933622 11.0995315933622
"AUNTI3556" 9.79552724087918 2 6.6332495807108 7.66227766016838 15.7260146785488 9.79552724087918 15.7260146785488 9.79552724087918 15.7260146785488 0 5.16227766016838 9.79552724087918 9.27900089177539 9.79552724087918 9.79552724087918 9.12465376158837 5.16227766016838 6.6332495807108 9.6332495807108 9.6332495807108
