Language,path_length,mean_k,clust_coef_global,clust_coef_avg,data_type,Speaker
Finnish,0.10816092580119713,3.551546391752577,0.19154170571696344,0.7375718644700585,target,NA
French,0.1794472699880575,2.4746835443037973,0.2709030100334448,0.696803895148266,target,NA
Japanese,0.3290852148270554,4.875255623721881,0.2388041338582677,0.7302986583079297,target,NA
UK,0.1849223317925918,4.0303951367781155,0.23342175066312998,0.6749322859930339,target,NA
Urdu,0.3761787270803589,2.394160583941606,0.42021276595744683,0.6649591149591149,target,NA
Welsh,0.257746094411777,3.1788079470198674,0.36253041362530414,0.673593661887197,target,NA
Finnish,0.39992359238252995,4.587628865979381,0.20247781065088757,0.7628467832704634,actual,NA
French,0.33464223513451385,6.746081504702194,0.3956258890469417,0.6354921127458631,actual,NA
Japanese,0.4132409073219826,11.122448979591837,0.47848142993187315,0.627847735696765,actual,NA
UK,0.43475756684382144,5.831831831831832,0.4546382283906521,0.587813283511795,actual,NA
Urdu,0.5376652843771506,4.467153284671533,0.4506258692628651,0.6551861653020518,actual,NA
Welsh,0.4152671762002869,3.6556291390728477,0.47093023255813954,0.6346076196993627,actual,NA
French,0.006473250719164739,1.7142857142857142,0.061855670103092786,0.39999999999999997,target,Adeline
Urdu,0.03212388285576866,2.2222222222222223,0.38235294117647056,0.684072249589491,target,Afan
Finnish,0.04395245893112697,4.980769230769231,0.15612294682062125,0.8185052977505807,target,Atte
French,0.0019721304774021286,1.5161290322580645,0.02097902097902098,0.3,target,Basile
Welsh,0.19533930213531478,3.5454545454545454,0.5514705882352942,0.746485260770975,target,Carys
Finnish,0.028587467160744857,2.5063291139240507,0.16,0.8041975308641975,target,Eelis
Welsh,0.10700889736107855,2.4324324324324325,0.5897435897435898,0.706926406926407,target,Elen
Finnish,0.18155829954289698,3.2244897959183674,0.219959266802444,0.7477361777947061,target,Eliisa
UK,0.09829044324411419,3.0136986301369864,0.17780580075662042,0.6355412340374748,target,Ella
Welsh,0.16399215530263206,3.5714285714285716,0.27491961414790994,0.6921084483175984,target,Fflur
French,0.07288372523591793,2.8405797101449277,0.16334661354581673,0.8542343073593073,target,Gaël
Welsh,0.3671628570034562,3.24,0.3687150837988827,0.5844342037890423,target,Gwyn
Japanese,0.3280949826249229,7.4,0.33388293487221765,0.6513619502888768,target,Haruo
Japanese,0.2251815279795767,2.4745762711864407,0.2613240418118467,0.7575094575094575,target,Hiromi
UK,0.3742018187253877,2.9836065573770494,0.2292358803986711,0.6898648648648649,target,Ivy
French,0.16715551382543212,2.608695652173913,0.31690140845070425,0.6234126984126984,target,Julien
Japanese,0.15016866422708283,4.152671755725191,0.13206262763784887,0.8198456712445996,target,Kazuko
UK,0.08034491596804774,2.618181818181818,0.10209424083769633,0.8171296296296297,target,Lewis
Finnish,0.09058429281542639,2.5106382978723403,0.32061068702290074,0.5969524302857636,target,Mira
UK,0.16579275959474196,10.107142857142858,0.25069637883008355,0.660321094961721,target,Patrick
UK,0.21679165384166177,2.689655172413793,0.3973509933774834,0.6244348244348245,target,Rachel
Urdu,0.33238715952645503,1.7647058823529411,0.5555555555555556,0.6443223443223444,target,Radia
French,0.10592375778368018,2.7567567567567566,0.31797235023041476,0.7550505050505051,target,Romuald
Urdu,0.5177610654224888,3.2,0.40860215053763443,0.6554256854256854,target,Shazim
Finnish,0.3736943322027404,3.8,0.5138121546961326,0.6015873015873017,target,Sini
Japanese,0.4244456340231856,6.456692913385827,0.24481801860616942,0.680627446928032,target,Takeru
Japanese,0.12731876834316364,2.5365853658536586,0.18010291595197256,0.7550123079534844,target,Taro
UK,0.16093828578704358,2.4727272727272727,0.2717391304347826,0.6059218559218558,target,Tobias
French,0.42233336263382215,3.5806451612903225,0.4891304347826087,0.6806397306397306,target,Vincent
French,0.3058158445759203,10.126984126984127,0.3767034393251136,0.6559467690993781,actual,Adeline
Urdu,0.5035324732659696,5.428571428571429,0.435611038107753,0.6723310563429729,actual,Afan
Finnish,0.2616211051636326,6.25,0.18798076923076923,0.7277705641312002,actual,Atte
French,0.017488287984923075,1.6129032258064515,0.2076923076923077,0.5814814814814815,actual,Basile
Welsh,0.38744046082931893,3.1818181818181817,0.5076923076923077,0.5214285714285714,actual,Carys
Finnish,0.3623794451553036,3.8987341772151898,0.1628686327077748,0.7942178872018061,actual,Eelis
Welsh,0.3015180621318123,3.5135135135135136,0.6373626373626373,0.6381802721088438,actual,Elen
Finnish,0.4882564338177644,4.285714285714286,0.21642969984202212,0.8171901390663002,actual,Eliisa
UK,0.52089438931194465,5.756756756756757,0.45965103598691387,0.6181106469195112,actual,Ella
Welsh,0.45737873341068636,3.5714285714285716,0.475,0.704100529100529,actual,Fflur
French,0.33366215420960205,8.055555555555555,0.30662983425414364,0.6292355736068654,actual,Gaël
Welsh,0.4287767018963798,4.04,0.3924812030075188,0.6302529342003025,actual,Gwyn
Japanese,0.3574569524840592,18.622222222222224,0.5746668327313489,0.6613997227229206,actual,Haruo
Japanese,0.3783126666910588,7.1525423728813555,0.42529198550140956,0.6909282564890953,actual,Hiromi
UK,0.38277673676380947,6.838709677419355,0.4641943734015345,0.5734644565661526,actual,Ivy
French,0.16538634673666466,1.826086956521739,0.3582089552238806,0.557142857142857,actual,Julien
Japanese,0.42751906365272657,12.305343511450381,0.41680863145939806,0.5659527011779917,actual,Kazuko
UK,0.35884806949240694,5.636363636363637,0.2604340567612688,0.5366901016501915,actual,Lewis
Finnish,0.17561182887804877,3.148936170212766,0.3046153846153846,0.7394184626742766,actual,Mira
UK,0.46865523439689666,3.9285714285714284,0.29526123936816523,0.5622946421076612,actual,Patrick
UK,0.2564732690060283,8.533333333333333,0.6409185803757829,0.6709586573557161,actual,Rachel
Urdu,0.6129157855447592,3,0.5714285714285714,0.6776742581090407,actual,Radia
French,0.3869706440532605,5.405405405405405,0.4480234260614934,0.6207691949627435,actual,Romuald
Urdu,0.5577921087921524,4.2,0.45067264573991034,0.6119769119769118,actual,Shazim
Finnish,0.5946234273866534,4.233333333333333,0.30697674418604654,0.7085093128160354,actual,Sini
Japanese,0.4311443568088629,8.5625,0.3803656597774245,0.6414980988916174,actual,Takeru
Japanese,0.43110139139853365,7.853658536585366,0.37783049385378475,0.6189831704827944,actual,Taro
UK,0.4324801872270504,5.464285714285714,0.5704225352112676,0.5894644763769447,actual,Tobias
French,0.3833083332431483,9.548387096774194,0.498438110113237,0.6618438946635434,actual,Vincent
