Speaker_ID,Speaker,ID,path_length,mean_k,clust_coef_global,Language,data_type
Adeline_84,Adeline,84,0.2906993120085037,1.5,0,French,iter
Adeline_85,Adeline,85,0.23902133936055625,0.3,0,French,iter
Adeline_86,Adeline,86,0.35338669267928646,1,0,French,iter
Adeline_87,Adeline,87,0.3456575841971327,0.8,0,French,iter
Adeline_88,Adeline,88,0.22892180350777994,1.7,0,French,iter
Adeline_89,Adeline,89,0.24708256846580565,0.6,0,French,iter
Adeline_9,Adeline,9,0.2637254581605229,1.5,0,French,iter
Adeline_90,Adeline,90,0.2030527227793728,1.4,0,French,iter
Adeline_91,Adeline,91,0.27024655925947494,0.7,0,French,iter
Adeline_92,Adeline,92,0.23902133936055625,0.3,0,French,iter
Adeline_93,Adeline,93,0.23513157763944445,1.6,0,French,iter
Adeline_94,Adeline,94,0.3412198776262785,1.6,0,French,iter
Adeline_95,Adeline,95,0.18271107181407228,0.4,0,French,iter
Adeline_96,Adeline,96,0.24511664261098154,1.3,0,French,iter
Adeline_97,Adeline,97,0.3910352014618011,1.6,0,French,iter
Adeline_98,Adeline,98,0.3091661131043716,0.5,0,French,iter
Adeline_99,Adeline,99,0.24767175869974453,1.2,0,French,iter
Afan_1,Afan,1,0.3638540614969278,1,0,Urdu,iter
Afan_10,Afan,10,0.297614004097853,0.2,0,Urdu,iter
Afan_100,Afan,100,0.24546702252928343,0.1,NA,Urdu,iter
Afan_11,Afan,11,0.11621886101413344,0.4,0,Urdu,iter
Afan_12,Afan,12,0.1869857719114518,0.7,0,Urdu,iter
Afan_13,Afan,13,0.32742419501839654,0.3,0,Urdu,iter
Afan_14,Afan,14,0.31418259793482045,0.8,0,Urdu,iter
Afan_15,Afan,15,0.17461174680397354,0.8,0,Urdu,iter
Afan_16,Afan,16,0,0.1,NA,Urdu,iter
Afan_17,Afan,17,0.362212777152782,0.4,0,Urdu,iter
Afan_18,Afan,18,0.27568824876037185,0.9,0,Urdu,iter
Afan_19,Afan,19,0.34780702303718664,1.2,0,Urdu,iter
Afan_2,Afan,2,0.1605783113542724,0.2,0,Urdu,iter
Afan_20,Afan,20,0.40025742348789844,1.1,0,Urdu,iter
Afan_21,Afan,21,0.3542458270383699,0.6,0,Urdu,iter
Afan_22,Afan,22,0.12570926292568876,0.4,0,Urdu,iter
Afan_23,Afan,23,0,0.2,0,Urdu,iter
Afan_25,Afan,25,0.2552602193916072,0.7,0,Urdu,iter
Afan_26,Afan,26,0.3968009695001842,1.3,0,Urdu,iter
Afan_27,Afan,27,0,0.1,NA,Urdu,iter
Afan_28,Afan,28,0.22048342162400694,0.3,0,Urdu,iter
Afan_29,Afan,29,0.11517622864613408,0.3,0,Urdu,iter
Afan_3,Afan,3,0.21017476659964368,0.4,0,Urdu,iter
Afan_30,Afan,30,0.2307310518096591,0.5,0,Urdu,iter
Afan_31,Afan,31,0.2941885022620081,0.2,0,Urdu,iter
Afan_32,Afan,32,0,0.1,NA,Urdu,iter
Afan_33,Afan,33,0.2128935581309384,0.4,0,Urdu,iter
Afan_34,Afan,34,0.15432549389629413,0.2,0,Urdu,iter
Afan_35,Afan,35,0.2909425934964503,0.3,0,Urdu,iter
Afan_36,Afan,36,0,0.1,NA,Urdu,iter
Afan_37,Afan,37,0.20776196879050202,0.8,0,Urdu,iter
Afan_38,Afan,38,0,0.1,NA,Urdu,iter
Afan_39,Afan,39,0.3756835336623068,0.9,0,Urdu,iter
Afan_4,Afan,4,0.22048342162400694,0.3,0,Urdu,iter
Afan_40,Afan,40,0.14958861752916128,0.4,0,Urdu,iter
