"La-La3035" "geegee2591" "oh god2662" "babi2580" "hiya2593" "oh god2599" "Dipsi2589" "tata2600" "babi2584" "babi2582" "hello3033" "dau, tri2587" "oh god3037" "uh-oh3447" "geegee2590" "llyga2597" "uh-oh2603" "choochoo2585" "tedi2601" "dau, tri2661"
"La-La3035" 0 7.32078831727758 11.7375340320648 8.69659108020651 6.51818690907182 9.28224190128888 8.02951506962356 7.98306597744596 8.69659108020651 8.69659108020651 4.13400532171888 7.368225829131 5.92633265238543 10.2655416982135 11.3389752263494 2.76405499221705 7.81024956743759 13.7801723028122 8.13741310763298 14.5277204339802
"geegee2591" 7.32078831727758 0 14.6357567000162 11.3191319096608 8.90156211871642 12.1804645692402 7.16227766016838 5.66227766016838 11.3191319096608 11.3191319096608 5.54138126514911 7.72383047297721 8.82455532033676 11.3191319096608 9.01818690907182 5.66227766016838 8.8638397788848 11.0786905367128 5.8166247903554 9.09589058645368
"oh god2662" 11.7375340320648 14.6357567000162 0 12.9734790398478 11.4144540640139 5.52100952831344 12.3487108404191 12.4696072354383 12.9734790398478 12.9734790398478 11.8457603631168 11.9999119788372 6.65685424949238 11.801906164594 15.8255164843418 8.97347903984778 11.666061443415 18.1449638939388 12.6239543656254 15.5294909095955
"babi2580" 8.69659108020651 11.3191319096608 12.9734790398478 0 11.0116273921272 10.2983638465606 9.49070478491457 9.15298244508295 0 0 10.0443364431884 9.19226690363099 8.81913190966076 13.6568542494924 12.5088916939864 8.48528137423857 10.9817390562052 15.9999119788372 9.30732957526997 16.5020227718781
"hiya2593" 6.51818690907182 8.90156211871642 11.4144540640139 11.0116273921272 0 5.89344453570043 7.17468138280769 7.10512483795333 11.0116273921272 11.0116273921272 5.22393696033209 6.85300543255006 8.94065952422983 9.01958066522062 10.1764793363518 5.77838186406145 3.49857113690718 13.4129031687832 6.97491721763538 9.84234000504954
"oh god2599" 9.28224190128888 12.1804645692402 5.52100952831344 10.2983638465606 5.89344453570043 0 10.2631308934578 10.3840272884771 10.2983638465606 10.2983638465606 9.39046823234084 9.91433203187598 4.20156211871642 11.666061443415 13.4553817868756 6.51818690907182 6.14505191510159 16.0593839469776 10.2538196681592 12.8369085060283
"Dipsi2589" 8.02951506962356 7.16227766016838 12.3487108404191 9.49070478491457 7.17468138280769 10.2631308934578 0 1.5 9.49070478491457 9.49070478491457 5.99070478491457 1.4142135623731 9.36593658548587 9.19226690363099 5.70156211871642 6.20365892531749 7.10668695666975 9.21076931263908 2.5 11.2268177520207
"tata2600" 7.98306597744596 5.66227766016838 12.4696072354383 9.15298244508295 7.10512483795333 10.3840272884771 1.5 0 9.15298244508295 9.15298244508295 6.20365892531749 2.06155281280883 9.48683298050514 9.15298244508295 4.20156211871642 6.32455532033676 7.06740249812171 9.17148485409103 1 11.1087837632708
"babi2584" 8.69659108020651 11.3191319096608 12.9734790398478 0 11.0116273921272 10.2983638465606 9.49070478491457 9.15298244508295 0 0 10.0443364431884 9.19226690363099 8.81913190966076 13.6568542494924 12.5088916939864 8.48528137423857 10.9817390562052 15.9999119788372 9.30732957526997 16.5020227718781
"babi2582" 8.69659108020651 11.3191319096608 12.9734790398478 0 11.0116273921272 10.2983638465606 9.49070478491457 9.15298244508295 0 0 10.0443364431884 9.19226690363099 8.81913190966076 13.6568542494924 12.5088916939864 8.48528137423857 10.9817390562052 15.9999119788372 9.30732957526997 16.5020227718781
"hello3033" 4.13400532171888 5.54138126514911 11.8457603631168 10.0443364431884 5.22393696033209 9.39046823234084 5.99070478491457 6.20365892531749 10.0443364431884 10.0443364431884 0 6.32455532033676 6.03455898343739 9.29690919413264 9.55956817422093 2.87228132326901 6.84161706335668 12.8115397987313 6.35800605550451 12.9052210440339
"dau, tri2587" 7.368225829131 7.72383047297721 11.9999119788372 9.19226690363099 6.85300543255006 9.91433203187598 1.4142135623731 2.06155281280883 9.19226690363099 9.19226690363099 6.32455532033676 0 9.01713772390401 8.86298610818358 6.26311493152526 5.85486006373563 6.77740616122234 8.88148851719167 3.06155281280883 11.9115594010028
"oh god3037" 5.92633265238543 8.82455532033676 6.65685424949238 8.81913190966076 8.94065952422983 4.20156211871642 9.36593658548587 9.48683298050514 8.81913190966076 8.81913190966076 6.03455898343739 9.01713772390401 0 11.647559034407 12.8427422294086 3.16227766016838 9.19226690363099 15.1621896390056 9.64118011069216 15.8841234945577
"uh-oh3447" 10.2655416982135 11.3191319096608 11.801906164594 13.6568542494924 9.01958066522062 11.666061443415 9.19226690363099 9.15298244508295 13.6568542494924 13.6568542494924 9.29690919413264 8.86298610818358 11.647559034407 0 12.5088916939864 8.48528137423857 5.52100952831344 11.9999119788372 9.30732957526997 15.0412932439863
"geegee2590" 11.3389752263494 9.01818690907182 15.8255164843418 12.5088916939864 10.1764793363518 13.4553817868756 5.70156211871642 4.20156211871642 12.5088916939864 12.5088916939864 9.55956817422093 6.26311493152526 12.8427422294086 12.5088916939864 0 9.6804645692402 10.1387569965202 13.3730469728075 3.20156211871642 14.1801382616693
"llyga2597" 2.76405499221705 5.66227766016838 8.97347903984778 8.48528137423857 5.77838186406145 6.51818690907182 6.20365892531749 6.32455532033676 8.48528137423857 8.48528137423857 2.87228132326901 5.85486006373563 3.16227766016838 8.48528137423857 9.6804645692402 0 6.02998924346261 11.9999119788372 6.47890245052378 12.7218458343893
"uh-oh2603" 7.81024956743759 8.8638397788848 11.666061443415 10.9817390562052 3.49857113690718 6.14505191510159 7.10668695666975 7.06740249812171 10.9817390562052 10.9817390562052 6.84161706335668 6.77740616122234 9.19226690363099 5.52100952831344 10.1387569965202 6.02998924346261 0 9.91433203187598 6.93719487780375 9.52028371567289
"choochoo2585" 13.7801723028122 11.0786905367128 18.1449638939388 15.9999119788372 13.4129031687832 16.0593839469776 9.21076931263908 9.17148485409103 15.9999119788372 15.9999119788372 12.8115397987313 8.88148851719167 15.1621896390056 11.9999119788372 13.3730469728075 11.9999119788372 9.91433203187598 0 10.171484854091 14.1946436807943
"tedi2601" 8.13741310763298 5.8166247903554 12.6239543656254 9.30732957526997 6.97491721763538 10.2538196681592 2.5 1 9.30732957526997 9.30732957526997 6.35800605550451 3.06155281280883 9.64118011069216 9.30732957526997 3.20156211871642 6.47890245052378 6.93719487780375 10.171484854091 0 10.9785761429529
"dau, tri2661" 14.5277204339802 9.09589058645368 15.5294909095955 16.5020227718781 9.84234000504954 12.8369085060283 11.2268177520207 11.1087837632708 16.5020227718781 16.5020227718781 12.9052210440339 11.9115594010028 15.8841234945577 15.0412932439863 14.1801382616693 12.7218458343893 9.52028371567289 14.1946436807943 10.9785761429529 0
